location,information,sales_price
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,19.998 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,14.998 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 3+1 | 5. Kat | 220 m²,25.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 8. Kat | 60 m²,15.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 7. Kat | 60 m²,17.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 55 m²,15.000 TL
Osmangazi - İntizam Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,21.000 TL
Yıldırım - Değirmenlikızık Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,14.999 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,20.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,22.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 4. Kat | 65 m²,18.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,25.500 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,14.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,15.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,11.000 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 3+1 | 12. Kat | 126 m²,28.000 TL
Osmangazi - Demirtaşpaşa Mahallesi,Daire | Stüdyo | 4. Kat | 45 m²,19.000 TL
Nilüfer - Konak Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,22.000 TL
Nilüfer - Kızılcıklı Mahallesi,Daire | 4+1 | 3. Kat | 198 m²,29.000 TL
Nilüfer - Ataevler Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,30.000 TL
İnegöl - Karalar Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 90 m²,10.000 TL
Nilüfer - Balat OSB Mahallesi,Daire | 1+1 | Kot 3 (-3). Kat | 70 m²,30.000 TL
Nilüfer - Yüzüncüyıl Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,29.000 TL
Nilüfer - Üçevler Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,13.500 TL
Osmangazi - Çekirge Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,17.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 1+1 | 1. Kat | 57 m²,15.000 TL
Nilüfer - Balkan Mahallesi,Daire | 2+1 | 2. Kat | 170 m²,26.000 TL
Orhangazi - Arapzade Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,16.500 TL
