location,information,sales_price
Çerkezköy - İstasyon Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,15.000 TL
Süleymanpaşa - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 40 m²,20.000 TL
Süleymanpaşa - Namık Kemal Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,25.000 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 2+1 | 4. Kat | 124 m²,16.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,13.000 TL
Süleymanpaşa - Çınarlı Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,13.500 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 105 m²,14.500 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 2+1 | Yüksek giriş | 105 m²,28.000 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 4+1 | 2. Kat | 145 m²,33.000 TL
Çerkezköy - Gazi Mustafa Kemalpaşa Mahallesi,Daire | 2+1 | 6. Kat | 115 m²,24.000 TL
Süleymanpaşa - Yavuz Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,19.000 TL
Çorlu - Havuzlar Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,18.000 TL20.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,45.000 TL
Çerkezköy - Kızılpınar Gültepe Mahallesi,Daire | 2+1 | 2. Kat | 135 m²,16.000 TL
Çerkezköy - Fevzi Paşa Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,12.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 1+1 | Bahçe katı | 68 m²,28.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,32.000 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,18.500 TL
Süleymanpaşa - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,21.000 TL
Süleymanpaşa - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,22.500 TL
Süleymanpaşa - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 52 m²,18.500 TL
Süleymanpaşa - Çiftlikönü Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 115 m²,15.000 TL
Süleymanpaşa - Ortacami Mahallesi,Daire | 1+1 | 3. Kat | 52 m²,30.000 TL
Çorlu - Hatip Mahallesi,Daire | 1+1 | 6. Kat | 50 m²,12.000 TL
Çorlu - Alipaşa Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,16.000 TL
Çorlu - Cemaliye Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,17.000 TL
Süleymanpaşa - Topağaç Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,24.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,17.500 TL
Süleymanpaşa - Hürriyet Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,50.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 75 m²,14.000 TL
Çerkezköy - Fatih Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,20.000 TL
Çorlu - Esentepe Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,24.000 TL
Çorlu - Rumeli Mahallesi,Daire | 3+1 | 2. Kat | 115 m²,25.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 5+1 | 11. Kat | 280 m²,42.500 TL
Muratlı - Muradiye Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,12.000 TL
