location,information,sales_price
Tepebaşı - Işıklar Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,15.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,13.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 120 m²,17.500 TL
Tepebaşı - Eskibağlar Mahallesi,Daire | 2+0 | 2. Kat | 65 m²,16.000 TL
Odunpazarı - Erenköy Mahallesi,Daire | 3+1 | 3. Kat | 162 m²,20.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,10.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 57 m²,10.500 TL
Tepebaşı - Ömerağa Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,19.750 TL
Tepebaşı - Bahçelievler Mahallesi,Daire | 2+0 | 2. Kat | 70 m²,14.000 TL
Odunpazarı - Ihlamurkent Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,14.000 TL
Tepebaşı - Zafer Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,15.000 TL16.500 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 1. Kat | 85 m²,16.500 TL
Tepebaşı - Esentepe Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,22.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.500 TL
Tepebaşı - Hayriye Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,17.000 TL
Tepebaşı - Zincirlikuyu Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,37.750 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 62 m²,10.750 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,18.750 TL
Tepebaşı - Yeşiltepe Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,15.000 TL
Odunpazarı - 71 Evler Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,16.000 TL
Tepebaşı - Yenibağlar Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,25.000 TL
Odunpazarı - Gültepe Mahallesi,Daire | 2+1 | 2. Kat | 105 m²,15.000 TL
Odunpazarı - Emek Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,25.000 TL
Odunpazarı - Gökmeydan Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,27.000 TL30.000 TL
Tepebaşı - Yaşamkent Mahallesi,Daire | 2+1 | 5. Kat | 103 m²,15.500 TL
Tepebaşı - Kumlubel Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,30.000 TL
Tepebaşı - Kumlubel Mahallesi,Daire | 3+1 | 4. Kat | 128 m²,18.000 TL
Tepebaşı - Hoşnudiye Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,20.000 TL
Odunpazarı - Kurtuluş Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,18.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
Tepebaşı - Şarhöyük Mahallesi,Daire | Stüdyo | 2. Kat | 30 m²,10.250 TL
Odunpazarı - Akarbaşı Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,18.000 TL
Odunpazarı - Akarbaşı Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,15.500 TL
Tepebaşı - Yeşiltepe Mahallesi,Daire | 2+0 | 2. Kat | 49 m²,9.000 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 2+0 | 1. Kat | 60 m²,12.500 TL
Tepebaşı - Sazova Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,29.500 TL
Tepebaşı - Sütlüce Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.000 TL
Tepebaşı - Ertuğrulgazi Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,13.500 TL
Tepebaşı - Hayriye Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,13.000 TL
Odunpazarı - Emek Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,14.000 TL15.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.500 TL
Odunpazarı - Emek Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,14.000 TL15.000 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,9.000 TL
Tepebaşı - Işıklar Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,15.500 TL
Tepebaşı - Şirintepe Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,18.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,13.500 TL
Tepebaşı - Yaşamkent Mahallesi,Daire | 2+1 | 5. Kat | 103 m²,16.500 TL
Tepebaşı - Çamlıca Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,12.500 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,21.000 TL
Odunpazarı - Arifiye Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,20.000 TL
Odunpazarı - Büyükdere Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,20.000 TL
