location,information,sales_price
Akçaabat - Yaylacık Mahallesi,Daire | 3+1 | Kot 4 (-4). Kat | 130 m²,15.000 TL16.000 TL
Ortahisar - Karşıyaka Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 115 m²,10.000 TL13.000 TL
Ortahisar - 1 Nolu Beşirli Mahallesi,Daire | 3+1 | Kot 1 (-1). Kat | 145 m²,20.000 TL
Ortahisar - Aydınlıkevler Mahallesi,Daire | 3+1 | 6. Kat | 155 m²,24.000 TL
Ortahisar - 3 Nolu Erdoğdu Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,18.000 TL
Ortahisar - Pelitli Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,17.500 TL
Ortahisar - Kalkınma Mahallesi,Daire | Stüdyo | 4. Kat | 30 m²,12.500 TL
Ortahisar - Pelitli Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,15.000 TL
Ortahisar - Kalkınma Mahallesi,Daire | 3+1 | Çatı katı | 120 m²,13.000 TL
Ortahisar - Kalkınma Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,25.000 TL
Ortahisar - Yenimahalle Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,19.000 TL
Ortahisar - Pelitli Mahallesi,Daire | 2+1 | 4. Kat | 125 m²,16.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 2+1 | 6. Kat | 70 m²,25.000 TL
Araklı - Merkez Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,15.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,30.000 TL
Akçaabat - Söğütlü Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,20.000 TL
Akçaabat - Söğütlü Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,20.000 TL
Ortahisar - Fatih Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,17.500 TL
Ortahisar - Fatih Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,15.500 TL
Ortahisar - Pelitli Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,16.000 TL17.000 TL
Ortahisar - Aydınlıkevler Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,15.000 TL
Ortahisar - Aydınlıkevler Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,15.000 TL
Ortahisar - Aydınlıkevler Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,20.000 TL
Ortahisar - Kalkınma Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.000 TL
Ortahisar - 2 Nolu Beşirli Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,38.000 TL
Ortahisar - Konaklar Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 120 m²,15.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 3+1 | Yüksek giriş | 100 m²,10.000 TL
Ortahisar - Fatih Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,22.500 TL
Akçaabat - Yaylacık Mahallesi,Daire | 4+1 | 4. Kat | 160 m²,13.000 TL14.000 TL
