location,information,sales_price
Akhisar - Reşat Bey Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,15.500 TL
Akhisar - Medar Mahallesi,Daire | 3+1 | 2. Kat | 115 m²,16.500 TL
Yunusemre - Güzelyurt Mahallesi,Daire | 1+1 | 6. Kat | 70 m²,21.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,14.000 TL
Yunusemre - Güzelyurt Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,42.000 TL
Yunusemre - Topçuasım Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,27.000 TL
Alaşehir - Kurtuluş Mahallesi,Daire | 1+1 | 2. Kat | 68 m²,14.500 TL
Alaşehir - İstasyon Mahallesi,Daire | 1+1 | 4. Kat | 48 m²,14.500 TL
Akhisar - Efendi Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,16.000 TL
Ahmetli - Altıeylül Mahallesi,Daire | 3+1 | 4. Kat | 150 m²,14.000 TL
Ahmetli - Barbaros Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,15.000 TL
Alaşehir - İstasyon Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,16.000 TL17.500 TL
Yunusemre - Güzelyurt Mahallesi,Daire | 1+1 | 7. Kat | 60 m²,21.000 TL
Şehzadeler - Nişancıpaşa Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,18.200 TL
Şehzadeler - Tunca Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,15.000 TL
Ahmetli - Ulu Cami Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,15.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,18.000 TL
Salihli - Şehitler Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,22.000 TL
Yunusemre - Ayni Ali Mahallesi,Daire | 4+1 | Çatı Dubleks | 200 m²,30.000 TL
Yunusemre - Güzelyurt Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,24.000 TL
Akhisar - Paşa Mahallesi,Daire | 3+1 | 2. Kat | 122 m²,15.000 TL
Soma - Kurtuluş Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,17.000 TL
Turgutlu - Turgutlar Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,20.000 TL
Turgutlu - Selvilitepe Mahallesi,Daire | 1+1 | 5. Kat | 67 m²,22.000 TL
Turgutlu - Kurtuluş Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,16.000 TL
Turgutlu - Selvilitepe Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,20.000 TL
Şehzadeler - Kuşlubahçe Mahallesi,Daire | 3+1 | Çatı Dubleks | 110 m²,23.000 TL
Yunusemre - Üçpınar Mahallesi,Daire | 4+1 | Bahçe dublex | 160 m²,48.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 3+1 | Yüksek giriş | 110 m²,20.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,20.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,12.000 TL
Turgutlu - Şehitler Mahallesi,Daire | 2+1 | 3. Kat | 140 m²,16.000 TL17.500 TL
Akhisar - Hürriyet Mahallesi,Daire | 3+1 | 8. Kat | 170 m²,25.000 TL
Şehzadeler - Yarhasanlar Mahallesi,Daire | 3+1 | 5. Kat | 105 m²,30.000 TL
Salihli - Seyrantepe Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,18.000 TL
Yunusemre - Hafsa Sultan Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,23.000 TL
Akhisar - Ulu Camii Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 135 m²,15.000 TL
Akhisar - Ulu Camii Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,18.000 TL
Akhisar - Ulu Camii Mahallesi,Daire | 3+1 | Bahçe katı | 140 m²,14.000 TL
Salihli - Beşeylül Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Salihli - Şehitler Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,20.000 TL
Salihli - Şehitler Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,25.000 TL
Akhisar - Atatürk Mahallesi,Daire | 1+1 | 7. Kat | 70 m²,26.000 TL
Yunusemre - Uncubozköy Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,28.000 TL
Akhisar - Hürriyet Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,19.000 TL
Yunusemre - Hafsa Sultan Mahallesi,Daire | 2+1 | 10. Kat | 117 m²,36.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,23.000 TL
Yunusemre - Lalapaşa Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,15.000 TL
Şehzadeler - Adakale Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,21.000 TL
Yunusemre - Hafsa Sultan Mahallesi,Daire | 3+1 | 10. Kat | 110 m²,25.000 TL
Alaşehir - Kurtuluş Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,15.500 TL
Alaşehir - Kurtuluş Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,15.500 TL
Alaşehir - Kurtuluş Mahallesi,Daire | 3+1 | 3. Kat | 145 m²,16.500 TL
Alaşehir - Fatih Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,12.000 TL
Soma - Onüç Eylül Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,20.000 TL
