location,information,sales_price
Lüleburgaz - İstiklal Mahallesi,Daire | 3+1 | 3. Kat | 137 m²,40.000 TL
Kırklareli Merkez - İstasyon Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,27.000 TL
Kırklareli Merkez - Cumhuriyet Mahallesi,Daire | 2+0 | 2. Kat | 65 m²,12.000 TL
Kırklareli Merkez - Bademlik Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,17.500 TL
Lüleburgaz - İstiklal Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,24.000 TL
Kırklareli Merkez - İstasyon Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,15.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 2+0 | 2. Kat | 75 m²,15.000 TL17.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 2+0 | 3. Kat | 65 m²,15.000 TL
Kırklareli Merkez - Karakaş Mahallesi,Daire | 1+1 | 1. Kat | 75 m²,15.000 TL
Lüleburgaz - Hürriyet Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,20.000 TL
Lüleburgaz - Zafer Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,22.000 TL
Lüleburgaz - Yıldırım Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,15.000 TL
Kırklareli Merkez - Demirtaş Mahallesi,Daire | 2+0 | 2. Kat | 60 m²,14.000 TL15.500 TL
Lüleburgaz - Cumhuriyet Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,20.000 TL
Lüleburgaz - Kocasinan Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,20.000 TL
