location,information,sales_price
Şahinbey - Güneykent Mahallesi,Daire | 1 Oda | 6. Kat | 20 m²,5.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 1 Oda | Bodrum Kat | 20 m²,6.000 TL
Şahinbey - Kolejtepe Mahallesi,Daire | 3+1 | Bahçe katı | 165 m²,18.300 TL23.000 TL
Şehitkamil - Sefaşehir Mahallesi,Daire | 4+1 | 1. Kat | 270 m²,16.500 TL
Şahinbey - Yeditepe Mahallesi,Daire | 2+0 | 4. Kat | 70 m²,13.000 TL
Şehitkamil - Sarıgüllük Mahallesi,Daire | 3+1 | 4. Kat | 230 m²,36.000 TL
Şehitkamil - Atatürk Mahallesi,Daire | 3+1 | 7. Kat | 180 m²,30.500 TL33.000 TL
Şahinbey - Akkent Mahallesi,Daire | 2+1 | 7. Kat | 105 m²,18.500 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+1 | 7. Kat | 110 m²,15.000 TL
Şahinbey - Beştepe Mahallesi,Daire | 2.5+1 | 1. Kat | 165 m²,20.000 TL
Şehitkamil - Beylerbeyi Mahallesi,Daire | 2+1 | 7. Kat | 115 m²,21.000 TL
Şehitkamil - Göktürk Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,32.000 TL
Şahinbey - Kavaklık Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,20.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 1+1 | 4. Kat | 40 m²,13.000 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+1 | 12. Kat | 110 m²,19.000 TL
Şahinbey - Fidanlık Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,11.000 TL
Şahinbey - Beştepe Mahallesi,Daire | 4+1 | 12. Kat | 210 m²,23.500 TL
Şehitkamil - Fıstıklık Mahallesi,Daire | 3+1 | 9. Kat | 185 m²,30.000 TL
Şahinbey - Şahintepe Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,12.750 TL
Şahinbey - Şahintepe Mahallesi,Daire | 1+1 | 10. Kat | 65 m²,14.500 TL
Şahinbey - Alaybey Mahallesi,Daire | 1+1 | 2. Kat | 85 m²,10.000 TL
Şahinbey - Karataş Mahallesi,Daire | 1+1 | 13. Kat | 65 m²,17.999 TL19.999 TL
Şehitkamil - Beykent Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,13.500 TL
Şehitkamil - Göktürk Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,20.000 TL
Şehitkamil - Değirmiçem Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,21.500 TL
Şehitkamil - Belkız Mahallesi,Daire | 3.5+1 | 3. Kat | 180 m²,26.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 3+1 | 4. Kat | 175 m²,21.000 TL
Şahinbey - Şahintepe Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,10.500 TL
Şehitkamil - Karacaören Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,7.750 TL8.250 TL
Şahinbey - Malazgirt Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 75 m²,6.000 TL7.500 TL
Şehitkamil - Göktürk Mahallesi,Daire | 2+1 | 6. Kat | 125 m²,17.000 TL
Şehitkamil - Beykent Mahallesi,Daire | 2+1 | Yüksek giriş | 135 m²,13.250 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,10.000 TL
Şahinbey - Güneykent Mahallesi,Daire | Stüdyo | 1. Kat | 50 m²,7.000 TL
Şahinbey - Güneykent Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 40 m²,5.000 TL6.000 TL
Şahinbey - Beştepe Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,8.500 TL9.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 2+0 | 2. Kat | 70 m²,10.000 TL
Şahinbey - Abdülhamit Han Mahallesi,Daire | 2+1 | 11. Kat | 100 m²,10.000 TL12.000 TL
Şahinbey - Kolejtepe Mahallesi,Daire | Stüdyo | 2. Kat | 55 m²,7.500 TL
Şehitkamil - Gazikent Mahallesi,Daire | 3+1 | Bahçe dublex | 165 m²,17.000 TL
Şahinbey - Kolejtepe Mahallesi,Daire | 3+1 | 2. Kat | 185 m²,16.850 TL
Şahinbey - Akyol Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,7.000 TL
Şehitkamil - Beykent Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,15.000 TL
Şahinbey - 23 Nisan Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,17.000 TL18.000 TL
Şahinbey - Konak Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,9.500 TL
Şahinbey - Karataş Mahallesi,Daire | 3+1 | 1. Kat | 180 m²,25.000 TL
Şahinbey - 60. Yıl Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,8.000 TL10.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 2+1 | 5. Kat | 75 m²,11.000 TL12.000 TL
Şahinbey - Akyol Mahallesi,Daire | 1+1 | Yüksek giriş | 90 m²,6.000 TL7.500 TL
Şahinbey - Perilikaya Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,10.000 TL
Şahinbey - Yeditepe Mahallesi,Daire | 2+0 | 3. Kat | 60 m²,9.000 TL
Şahinbey - Yeditepe Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,12.500 TL
Şahinbey - 23 Nisan Mahallesi,Daire | 2+1 | Yüksek giriş | 130 m²,9.500 TL11.000 TL
Şahinbey - Barak Mahallesi,Daire | 1+1 | 20. Kat | 80 m²,8.000 TL
Şehitkamil - Karacaören Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,8.000 TL
Şehitkamil - Karacaören Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,8.000 TL
Şehitkamil - Alpaslan Mahallesi,Daire | 3+1 | 8. Kat | 170 m²,18.500 TL
Şahinbey - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,8.000 TL8.500 TL
Şahinbey - Şahintepe Mahallesi,Daire | 2+1 | 13. Kat | 75 m²,15.000 TL16.000 TL
Şehitkamil - Seyrantepe Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,11.999 TL13.000 TL
Şahinbey - Güneykent Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,7.900 TL
Şahinbey - Güneykent Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,12.000 TL
Şehitkamil - Batıkent Mahallesi,Daire | 2+1 | 6. Kat | 150 m²,18.000 TL
Şehitkamil - Selahattin Eyyubi Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,12.500 TL
Şehitkamil - Şirinevler Mahallesi,Daire | 3+1 | 6. Kat | 160 m²,14.600 TL
Şehitkamil - Beykent Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,13.250 TL
Şehitkamil - Seyrantepe Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,14.900 TL
Şahinbey - Binevler Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,23.000 TL25.000 TL
Şehitkamil - Beykent Mahallesi,Daire | 2+1 | 8. Kat | 120 m²,15.000 TL
Şehitkamil - Göllüce Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,10.750 TL
Şehitkamil - Göllüce Mahallesi,Daire | 3+1 | 2. Kat | 170 m²,15.800 TL
Şehitkamil - Gazikent Mahallesi,Daire | 2+1 | 5. Kat | 125 m²,13.800 TL
Şahinbey - Kavaklık Mahallesi,Daire | 3+1 | 1. Kat | 250 m²,25.000 TL
Şehitkamil - Göktürk Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,27.000 TL
Şehitkamil - Seyrantepe Mahallesi,Daire | 2+1 | 11. Kat | 110 m²,13.150 TL
Şehitkamil - Mücahitler Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,30.750 TL
Şahinbey - Yeditepe Mahallesi,Daire | 1+1 | 7. Kat | 70 m²,15.000 TL
Şehitkamil - Göktürk Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,27.000 TL
