location,information,sales_price
Ümraniye - İnkılap Mahallesi,Daire | 1+1 | Çatı katı | 50 m²,30.000 TL
Eyüpsultan - Akşemsettin Mahallesi,Daire | 2+1 | Bahçe katı | 65 m²,20.000 TL
Şişli - Gülbahar Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,24.750 TL
Kadıköy - Kozyatağı Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,65.000 TL
Çatalca - Ferhatpaşa Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,26.000 TL
Çatalca - Kaleiçi Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,24.750 TL
Küçükçekmece - Kanarya Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,15.000 TL
Gaziosmanpaşa - Pazariçi Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,22.000 TL
Beylikdüzü - Kavaklı Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,43.000 TL
Bayrampaşa - Kartaltepe Mahallesi,Daire | 3+0 | 2. Kat | 70 m²,18.000 TL20.000 TL
Şişli - Halide Edip Adıvar Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,40.000 TL
Küçükçekmece - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,30.000 TL
Bayrampaşa - Muratpaşa Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,15.000 TL
Kadıköy - Merdivenköy Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,70.000 TL
