location,information,sales_price
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,16.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,20.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,18.000 TL
Edremit - İkizçay Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 62 m²,20.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,15.000 TL
Karesi - Atatürk Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,18.500 TL
Karesi - Paşa Alanı Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,32.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,18.000 TL
Altıeylül - 2. Gündoğan Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,24.000 TL
Burhaniye - Ören Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,30.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 4. Kat | 82 m²,18.500 TL
Burhaniye - Kocacami Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,30.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,16.500 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,14.500 TL
Karesi - Yeni Mahallesi,Daire | 1+1 | 6. Kat | 50 m²,10.000 TL
Edremit - Hamidiye Mahallesi,Daire | 1+1 | 4. Kat | 80 m²,21.000 TL
Ayvalık - Küçükköy Mahallesi,Daire | 3+1 | 4. Kat | 110 m²,35.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,25.000 TL
Bandırma - Paşakonak Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,18.500 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,16.000 TL
Altıeylül - Plevne Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,13.250 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,20.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,18.000 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | 3. Kat | 47 m²,16.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,12.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 1. Kat | 40 m²,15.000 TL
Edremit - Soğanyemez Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,32.000 TL
Edremit - İkizçay Mahallesi,Daire | 4+1 | 3. Kat | 180 m²,28.000 TL
Altıeylül - Plevne Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,16.000 TL
Altıeylül - Hasan Basri Çantay Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,13.000 TL
Karesi - Toygar Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,10.500 TL
Altıeylül - Hacı İlbey Mahallesi,Daire | 1+1 | Yüksek giriş | 40 m²,13.500 TL
Bigadiç - 4 Eylül Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,19.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.500 TL
Gömeç - Mithatpaşa Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,25.000 TL
Ayvalık - Ali Çetinkaya Mahallesi,Daire | 3+1 | 3. Kat | 138 m²,40.000 TL
Altıeylül - Hacı İlbey Mahallesi,Daire | 1+1 | 2. Kat | 52 m²,17.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,17.500 TL
Bandırma - Levent Mahallesi,Daire | 3+1 | 5. Kat | 115 m²,18.000 TL
Karesi - Hisariçi Mahallesi,Daire | 1 Oda | Düz Giriş (Zemin) | 16 m²,8.500 TL
Karesi - Paşa Alanı Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,24.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,15.000 TL
Gönen - Malkoç Mahallesi,Daire | 5+1 | 3. Kat | 180 m²,25.000 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 105 m²,17.000 TL
