location,information,sales_price
Ayvalık - Altınova Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,18.000 TL
Karesi - 2. Oruçgazi Mahallesi,Daire | 2+1 | 6. Kat | 90 m²,12.000 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,15.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,19.000 TL
Erdek - Sahil Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,16.500 TL
Karesi - Paşa Alanı Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,23.000 TL
Edremit - Eroğlan Mahallesi,Daire | 3+1 | Yüksek giriş | 110 m²,15.000 TL
Karesi - Ali Hikmet Paşa Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,15.000 TL
Karesi - Eski Kuyumcular Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,10.000 TL
Bandırma - Paşakent Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,18.000 TL
Ayvalık - Altınova Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,17.000 TL
Ayvalık - Altınova Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,20.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,15.500 TL
Erdek - Tatlısu Mahallesi,Daire | 2+0 | Yüksek giriş | 75 m²,20.000 TL
Edremit - Sarıkız Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,18.000 TL25.000 TL
Karesi - Kuva-İ Milliye Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,13.000 TL15.000 TL
Altıeylül - Kasaplar Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,17.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 1+1 | Bahçe katı | 100 m²,9.000 TL10.000 TL
Altıeylül - Hacı İlbey Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.000 TL13.500 TL
Karesi - Ege Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,11.000 TL
Savaştepe - İstiklal Mahallesi,Daire | 3+1 | 2. Kat | 100 m²,10.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,15.000 TL
Karesi - Yeni Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,18.000 TL
Altıeylül - Hacı İlbey Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,10.500 TL12.000 TL
Edremit - Altınoluk Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,35.000 TL
Karesi - Eski Kuyumcular Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,18.000 TL
Karesi - Atatürk Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,13.000 TL15.000 TL
Altıeylül - Hacı İlbey Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 69 m²,17.000 TL
Karesi - Hisariçi Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,12.500 TL
Edremit - Akçay Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,3.500 TL4.000 TL
Karesi - 1. Sakarya Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,10.000 TL11.000 TL
Bandırma - Yeni Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,19.999 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Karesi - Karesi Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,18.000 TL20.000 TL
Altıeylül - Plevne Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,15.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,18.000 TL
Bandırma - Paşabayır Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 90 m²,13.000 TL
Bandırma - 100. Yıl Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,13.500 TL
Ayvalık - Altınova Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,4.000 TL
Ayvalık - 150 Evler Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,40.000 TL
Gömeç - Yaya Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,17.000 TL
Ayvalık - 150 Evler Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,40.000 TL
Gömeç - Yaya Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,17.000 TL
Bandırma - Dere Mahallesi,Daire | 2.5+1 | 5. Kat | 86 m²,16.000 TL
Karesi - Eski Kuyumcular Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,14.000 TL16.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,30.000 TL
Edremit - Camivasat Mahallesi,Daire | 3+0 | Düz Giriş (Zemin) | 320 m²,1.270.000 TL
Edremit - Turhanbey Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,12.000 TL
Altıeylül - Hasan Basri Çantay Mahallesi,Daire | 1+1 | Çatı katı | 45 m²,14.500 TL
Karesi - 1. Sakarya Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Ayvalık - Altınova Mahallesi,Daire | 3+1 | Kot 1 (-1). Kat | 135 m²,25.000 TL
Ayvalık - Altınova Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,25.000 TL
Ayvalık - Altınova Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 100 m²,15.000 TL
Altıeylül - Altı Eylül Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,20.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.000 TL
Ayvalık - 150 Evler Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,32.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,10.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 3+1 | Bahçe katı | 115 m²,15.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 100 m²,12.500 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,19.500 TL
Altıeylül - Dinkçiler Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,15.000 TL
Altıeylül - Plevne Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,24.000 TL
Bandırma - Levent Mahallesi,Daire | 3+1 | 5. Kat | 125 m²,15.000 TL
Karesi - 1. Oruçgazi Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,15.000 TL
Edremit - Altınoluk Mahallesi,Daire | 2+1 | Bahçe katı | 95 m²,3.300 TL4.000 TL
Altıeylül - Gümüsçesme Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,13.000 TL
Karesi - Atatürk Mahallesi,Daire | 1+1 | Bahçe katı | 80 m²,8.000 TL12.000 TL
Karesi - Ali Hikmet Paşa Mahallesi,Daire | 1+1 | Bahçe katı | 75 m²,7.000 TL
Altıeylül - Yıldız Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Edremit - Camivasat Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,15.000 TL
Edremit - Camivasat Mahallesi,Daire | 2+1 | 2. Kat | 93 m²,12.000 TL
Bandırma - İhsaniye Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,18.000 TL
Bandırma - Paşamescit Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,15.000 TL
Burhaniye - Pelitköy Mahallesi,Daire | 5+2 | Müstakil | 270 m²,80.000 TL
Edremit - Güre Cumhuriyet Mahallesi,Daire | 3+1 | 2. Kat | 90 m²,28.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Altıeylül - Kasaplar Mahallesi,Daire | 3+1 | 3. Kat | 105 m²,14.500 TL
Karesi - Paşa Alanı Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,18.000 TL
Altıeylül - 1. Gündoğan Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,16.000 TL
Edremit - Gazi İlyas Mahallesi,Daire | 1 Oda | Düz Giriş (Zemin) | 23 m²,15.000 TL
Bandırma - Paşakent Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,23.000 TL
Ayvalık - Küçükköy Mahallesi,Daire | 1+1 | 3. Kat | 65 m²,25.000 TL
Edremit - Eroğlan Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,20.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,15.000 TL
Burhaniye - Memiş Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,23.000 TL
Edremit - Akçay Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,15.000 TL
Edremit - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,15.000 TL
Edremit - Akçay Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,65.000 TL
Edremit - Altınoluk Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,3.300 TL4.000 TL
Altıeylül - Kasaplar Mahallesi,Daire | Stüdyo | 3. Kat | 20 m²,13.000 TL
Edremit - Altınkum Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,15.000 TL
Altıeylül - Altı Eylül Mahallesi,Daire | 1+1 | 3. Kat | 70 m²,22.500 TL
Ayvalık - Altınova Mahallesi,Daire | 3+1 | Kot 2 (-2). Kat | 135 m²,27.000 TL
Edremit - Avcılar Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,20.000 TL
Marmara - Avşa Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,15.000 TL
Edremit - Sarıkız Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,15.000 TL
Edremit - Camivasat Mahallesi,Daire | 3+1 | 3. Kat | 108 m²,15.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,15.000 TL
Edremit - Akçay Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,25.000 TL65.000 TL
Edremit - Camivasat Mahallesi,Daire | 3+1 | 3. Kat | 122 m²,15.000 TL
Erdek - Yalı Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,14.000 TL
Edremit - Camivasat Mahallesi,Daire | 3+1 | 3. Kat | 122 m²,15.000 TL
Erdek - Yalı Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,14.000 TL
Altıeylül - Hasan Basri Çantay Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,14.000 TL
Edremit - Akçay Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,20.000 TL65.000 TL
Edremit - Altınoluk Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,3.400 TL5.000 TL
Edremit - Altınoluk Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,3.000 TL4.000 TL
Edremit - Gazi İlyas Mahallesi,Daire | 1 Oda | Düz Giriş (Zemin) | 19 m²,15.000 TL
Edremit - Altınoluk Mahallesi,Daire | 4+1 | 3. Kat | 160 m²,10.300.000 TL
Edremit - Altınoluk Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,3.200 TL5.000 TL
Edremit - Avcılar Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,35.000 TL
Edremit - Avcılar Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,5.250 TL
Edremit - Soğanyemez Mahallesi,Daire | 3+1 | 4. Kat | 138 m²,3.700.000 TL4.500.000 TL
Edremit - Avcılar Mahallesi,Daire | 2+1 | 3. Kat | 125 m²,5.250 TL
Edremit - Altınoluk Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,3.000 TL5.000 TL
Edremit - Altınoluk Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,3.000 TL4.500 TL
Edremit - Altınoluk Mahallesi,Daire | 4+1 | 2. Kat | 125 m²,3.000 TL4.000 TL
Edremit - Altınoluk Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,2.850 TL4.500 TL
Bandırma - İhsaniye Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,30.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,22.000 TL
Altıeylül - Kasaplar Mahallesi,Daire | 3+1 | 3. Kat | 85 m²,18.000 TL
Edremit - Güre Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,30.000 TL
Karesi - 1. Sakarya Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,19.500 TL
Edremit - Altınkum Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,26.500 TL
Gömeç - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,23.000 TL
Gömeç - Mithatpaşa Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,23.000 TL
Altıeylül - Plevne Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.750 TL
Bandırma - 600 Evler Mahallesi,Daire | 2+1 | 1. Kat | 130 m²,21.000 TL
Karesi - 2. Sakarya Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,19.000 TL
Karesi - Karesi Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,21.500 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | 2. Kat | 36 m²,15.000 TL
Edremit - İkizçay Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,20.000 TL
Edremit - İkizçay Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,32.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,25.000 TL
Edremit - Kızılkeçili Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,14.000 TL
Bandırma - Hacı Yusuf Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,17.000 TL
Bandırma - 600 Evler Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,30.000 TL
Bandırma - Sunullah Mahallesi,Daire | 1+1 | 3. Kat | 57 m²,18.750 TL
Karesi - 2. Sakarya Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,21.000 TL
Bigadiç - Çavuş Mahallesi,Daire | 1+1 | Çatı katı | 55 m²,15.000 TL
Ayvalık - 150 Evler Mahallesi,Daire | 1+1 | 2. Kat | 90 m²,45.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,30.000 TL
Ayvalık - Altınova Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,30.000 TL
Karesi - 1. Sakarya Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,11.000 TL
Karesi - Atatürk Mahallesi,Daire | 1+1 | Çatı katı | 65 m²,12.000 TL
Karesi - Paşa Alanı Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,15.000 TL
Gönen - Malkoç Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 205 m²,16.000 TL
Edremit - Altınkum Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,39.000 TL
