location,information,sales_price
Ünye - Gölevi Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,15.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,17.000 TL
Gülyalı - Turnasuyu Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.000 TL
Gülyalı - Turnasuyu Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,9.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.500 TL
Fatsa - Dolunay Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,18.000 TL
Gülyalı - Turnasuyu Mahallesi,Daire | 1+1 | 5. Kat | 60 m²,16.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.000 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,16.000 TL
Altınordu - Şahincili Mahallesi,Daire | 3+1 | 4. Kat | 138 m²,15.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,14.500 TL
Altınordu - Cumhuriyet Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,12.000 TL
Ünye - Hamidiye Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,15.000 TL
Ünye - Atatürk Mahallesi,Daire | 1+1 | 6. Kat | 40 m²,16.500 TL
