location,information,sales_price
Kuşadası - Hacıfeyzullah Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,35.000 TL
Söke - Çeltikçi Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,27.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,12.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,15.000 TL
Didim - Altınkum Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,35.000 TL
Nazilli - Sümer Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,10.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Nazilli - Pınarbaşı Mahallesi,Daire | 5+2 | Çatı Dubleks | 170 m²,23.000 TL
Nazilli - Yeşil Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 105 m²,20.000 TL
Efeler - Adnan Menderes Mahallesi,Daire | 3+1 | 4. Kat | 100 m²,10.000 TL
Nazilli - Yıldıztepe Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,15.000 TL
Efeler - Zafer Mahallesi,Daire | 2+0 | 4. Kat | 60 m²,23.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,8.250 TL
Efeler - Zafer Mahallesi,Daire | 2+0 | 3. Kat | 60 m²,20.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,18.000 TL
Nazilli - Yeşil Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,20.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,18.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,18.000 TL
Nazilli - Yeni Sanayi Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,8.500 TL
Efeler - Yedi Eylül Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,23.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,14.000 TL
Nazilli - Yıldıztepe Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,18.000 TL
Efeler - Güzelhisar Mahallesi,Daire | 1+1 | 3. Kat | 52 m²,12.000 TL
Nazilli - Yeni Mahallesi,Daire | 2+1 | 5. Kat | 75 m²,14.000 TL
İncirliova - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,18.000 TL
Söke - Atatürk Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,23.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,11.000 TL
Efeler - Mesudiye Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Nazilli - Yeni Mahallesi,Daire | 3+1 | 5. Kat | 149 m²,8.500 TL
Söke - Atatürk Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,22.000 TL
Kuşadası - Hacıfeyzullah Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,35.000 TL
Söke - Çeltikçi Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,27.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,12.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,15.000 TL
Didim - Altınkum Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,35.000 TL
Nazilli - Sümer Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,10.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Nazilli - Pınarbaşı Mahallesi,Daire | 5+2 | Çatı Dubleks | 170 m²,23.000 TL
Nazilli - Yeşil Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 105 m²,20.000 TL
Efeler - Adnan Menderes Mahallesi,Daire | 3+1 | 4. Kat | 100 m²,10.000 TL
Nazilli - Yıldıztepe Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,15.000 TL
Efeler - Zafer Mahallesi,Daire | 2+0 | 4. Kat | 60 m²,23.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,8.250 TL
Efeler - Zafer Mahallesi,Daire | 2+0 | 3. Kat | 60 m²,20.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,18.000 TL
Nazilli - Yeşil Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,20.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,18.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,18.000 TL
Nazilli - Yeni Sanayi Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,8.500 TL
Efeler - Yedi Eylül Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,23.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,14.000 TL
Nazilli - Yıldıztepe Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,18.000 TL
Efeler - Güzelhisar Mahallesi,Daire | 1+1 | 3. Kat | 52 m²,12.000 TL
Nazilli - Yeni Mahallesi,Daire | 2+1 | 5. Kat | 75 m²,14.000 TL
İncirliova - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,18.000 TL
Söke - Atatürk Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,23.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,11.000 TL
Efeler - Mesudiye Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Nazilli - Yeni Mahallesi,Daire | 3+1 | 5. Kat | 149 m²,8.500 TL
Söke - Atatürk Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,22.000 TL
Kuşadası - Hacıfeyzullah Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,35.000 TL
Söke - Çeltikçi Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,27.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,12.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,15.000 TL
Didim - Altınkum Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,35.000 TL
Nazilli - Sümer Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,10.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Nazilli - Pınarbaşı Mahallesi,Daire | 5+2 | Çatı Dubleks | 170 m²,23.000 TL
Nazilli - Yeşil Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 105 m²,20.000 TL
Efeler - Adnan Menderes Mahallesi,Daire | 3+1 | 4. Kat | 100 m²,10.000 TL
Nazilli - Yıldıztepe Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,15.000 TL
Efeler - Zafer Mahallesi,Daire | 2+0 | 4. Kat | 60 m²,23.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,8.250 TL
Efeler - Zafer Mahallesi,Daire | 2+0 | 3. Kat | 60 m²,20.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,18.000 TL
Nazilli - Yeşil Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,20.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,18.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,18.000 TL
Nazilli - Yeni Sanayi Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,8.500 TL
Efeler - Yedi Eylül Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,23.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,14.000 TL
Nazilli - Yıldıztepe Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,18.000 TL
Efeler - Güzelhisar Mahallesi,Daire | 1+1 | 3. Kat | 52 m²,12.000 TL
Nazilli - Yeni Mahallesi,Daire | 2+1 | 5. Kat | 75 m²,14.000 TL
İncirliova - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,18.000 TL
Söke - Atatürk Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,23.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,11.000 TL
Efeler - Mesudiye Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Nazilli - Yeni Mahallesi,Daire | 3+1 | 5. Kat | 149 m²,8.500 TL
Söke - Atatürk Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,22.000 TL
Kuşadası - Hacıfeyzullah Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,35.000 TL
Söke - Çeltikçi Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,27.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,12.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,15.000 TL
Didim - Altınkum Mahallesi,Daire | 3+1 | 3. Kat | 180 m²,35.000 TL
Nazilli - Sümer Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,10.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,25.000 TL
Nazilli - Pınarbaşı Mahallesi,Daire | 5+2 | Çatı Dubleks | 170 m²,23.000 TL
Nazilli - Yeşil Mahallesi,Daire | 2+1 | Kot 1 (-1). Kat | 105 m²,20.000 TL
Efeler - Adnan Menderes Mahallesi,Daire | 3+1 | 4. Kat | 100 m²,10.000 TL
Nazilli - Yıldıztepe Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,15.000 TL
Efeler - Zafer Mahallesi,Daire | 2+0 | 4. Kat | 60 m²,23.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,8.250 TL
Efeler - Zafer Mahallesi,Daire | 2+0 | 3. Kat | 60 m²,20.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,18.000 TL
Nazilli - Yeşil Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,20.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,18.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,18.000 TL
Nazilli - Yeni Sanayi Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,8.500 TL
Efeler - Yedi Eylül Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,23.000 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 125 m²,14.000 TL
Nazilli - Yıldıztepe Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,18.000 TL
Efeler - Güzelhisar Mahallesi,Daire | 1+1 | 3. Kat | 52 m²,12.000 TL
Nazilli - Yeni Mahallesi,Daire | 2+1 | 5. Kat | 75 m²,14.000 TL
İncirliova - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,18.000 TL
Söke - Atatürk Mahallesi,Daire | 3+1 | Yüksek giriş | 120 m²,23.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,11.000 TL
