location,information,sales_price
Nazilli - Aydoğdu Mahallesi,Daire | 2+0 | 1. Kat | 100 m²,18.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,12.000 TL
Nazilli - Yeşil Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,20.000 TL
Söke - Yenikent Mahallesi,Daire | 1+1 | Kot 2 (-2). Kat | 60 m²,14.000 TL
Nazilli - Sümer Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.000 TL
Nazilli - Yeşil Mahallesi,Daire | 4+1 | 2. Kat | 220 m²,24.000 TL
Nazilli - Sümer Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,12.000 TL
Didim - Efeler Mahallesi,Daire | 2+1 | 1. Kat | 70 m²,19.000 TL
Nazilli - Zafer Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,18.000 TL
Kuşadası - Davutlar Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,15.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | Çatı katı | 43 m²,11.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,13.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,10.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,9.500 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,11.500 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,10.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,10.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,9.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,9.000 TL
Nazilli - İsabeyli Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,10.000 TL
Nazilli - Yeni Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,12.500 TL
Nazilli - Yeşil Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,20.500 TL
Nazilli - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,13.500 TL
Germencik - Mesudiye Mahallesi,Daire | 4+1 | 3. Kat | 168 m²,33.000 TL
Kuşadası - Türkmen Mahallesi,Daire | 1+1 | Bahçe katı | 154 m²,35.000 TL
