location,information,sales_price
Darıca - Piri Reis Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,35.000 TL
Darıca - Bayramoğlu Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,33.000 TL
Darıca - Piri Reis Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,22.000 TL
Darıca - Bağlarbaşı Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,30.000 TL
Darıca - Kazım Karabekir Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,19.500 TL
Darıca - Yeni Mahallesi,Daire | 4+1 | 3. Kat | 170 m²,25.000 TL
Darıca - Bayramoğlu Mahallesi,Daire | 4+1 | 2. Kat | 220 m²,58.000 TL
Darıca - Bayramoğlu Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,35.000 TL
Darıca - Piri Reis Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,30.000 TL
Darıca - Sırasöğütler Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,26.000 TL
Körfez - Mimar Sinan Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,27.000 TL
Gölcük - Şehitler Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,25.000 TL
Körfez - Çamlıtepe Mahallesi,Daire | 2+1 | 4. Kat | 130 m²,15.500 TL
Körfez - Mimar Sinan Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,19.000 TL
Kartepe - Ertuğrul Gazi Mahallesi,Daire | 3+1 | 3. Kat | 175 m²,31.000 TL
İzmit - Kadıköy Mahallesi,Daire | 3+1 | 4. Kat | 110 m²,24.000 TL
Gölcük - İhsaniye Merkez Mahallesi,Daire | 4+1 | 2. Kat | 175 m²,29.500 TL
Gebze - Yenikent Mahallesi,Daire | 4+1 | 6. Kat | 160 m²,35.000 TL
Gebze - Yenikent Mahallesi,Daire | 1+1 | 5. Kat | 85 m²,20.000 TL
İzmit - Tavşantepe Mahallesi,Daire | 2.5+1 | Düz Giriş (Zemin) | 135 m²,17.500 TL
İzmit - Gündoğdu Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,15.000 TL
Çayırova - Emek Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.500 TL
Gölcük - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,20.000 TL
Darıca - Bağlarbaşı Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,23.000 TL25.000 TL
Darıca - Kazım Karabekir Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,25.500 TL
Gölcük - Şehitler Mahallesi,Daire | 3+1 | 1. Kat | 175 m²,30.750 TL
İzmit - Erenler Mahallesi,Daire | 3+1 | 9. Kat | 112 m²,20.000 TL
Körfez - İlimtepe Mahallesi,Daire | 2+1 | 4. Kat | 96 m²,15.000 TL
Karamürsel - 4 Temmuz Mahallesi,Daire | 3+1 | Çatı katı | 100 m²,25.000 TL
Başiskele - Yeşilyurt Mahallesi,Daire | 2+1 | 2. Kat | 112 m²,22.000 TL
Gölcük - Karaköprü Mahallesi,Daire | 1+1 | 3. Kat | 62 m²,21.000 TL
Gölcük - Hisareyn Merkez Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,23.000 TL
İzmit - Malta Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,18.000 TL
Çayırova - Şekerpınar Mahallesi,Daire | Stüdyo | 3. Kat | 50 m²,9.000 TL
Çayırova - Özgürlük Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,25.000 TL
Gebze - Adem Yavuz Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,24.500 TL
Gölcük - Yüzbaşılar Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,30.000 TL
Gölcük - Şirinköy Mahallesi,Daire | 2+1 | Yüksek giriş | 87 m²,22.000 TL
Gölcük - Değirmendere Yalı Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,25.500 TL
Darıca - Yeni Mahallesi,Daire | 3+1 | Çatı katı | 160 m²,50.000 TL
Körfez - Mimar Sinan Mahallesi,Daire | 3+1 | 4. Kat | 100 m²,25.000 TL
Körfez - Mimar Sinan Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,18.000 TL
Başiskele - Yeşilyurt Mahallesi,Daire | 4+1 | 3. Kat | 155 m²,43.000 TL
Gebze - Yenikent Mahallesi,Daire | 6+2 | 6. Kat | 260 m²,36.000 TL
Çayırova - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,20.000 TL
Gebze - İstasyon Mahallesi,Daire | 2+1 | Bodrum Kat | 85 m²,13.000 TL
Derince - Çenedağ Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,15.000 TL
Gölcük - Merkez Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,20.500 TL
Gölcük - Saraylı Mahallesi,Daire | 2+1 | 1. Kat | 82 m²,18.000 TL
Gölcük - Merkez Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,16.900 TL
Darıca - Cami Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,29.000 TL
Gebze - Osman Yılmaz Mahallesi,Daire | 3+1 | 3. Kat | 102 m²,40.000 TL
Gebze - Adem Yavuz Mahallesi,Daire | 4+1 | 4. Kat | 160 m²,28.000 TL
İzmit - Kozluk Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,20.000 TL
Karamürsel - Kayacık Mahallesi,Daire | 1+1 | Yüksek giriş | 110 m²,25.000 TL
Kartepe - Fatih Sultan Mehmet Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,25.000 TL
İzmit - Kozluk Mahallesi,Daire | 3+1 | 6. Kat | 130 m²,23.500 TL
İzmit - Serdar Mahallesi,Daire | 2+1 | 7. Kat | 90 m²,20.000 TL
Kartepe - İstasyon Mahallesi,Daire | 2+1 | 3. Kat | 135 m²,22.500 TL
Gebze - Barış Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 91 m²,25.000 TL
Körfez - Atalar Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,25.000 TL
Gebze - Köşklü Çeşme Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,16.000 TL18.000 TL
Gölcük - Yazlık Yeni Mahallesi,Daire | 4+1 | 4. Kat | 150 m²,30.000 TL
İzmit - Yeni Mahallesi,Daire | 2+1 | 2. Kat | 113 m²,24.000 TL
Gebze - Köşklü Çeşme Mahallesi,Daire | 2+1 | Bahçe katı | 65 m²,18.500 TL
Gölcük - Donanma Mahallesi,Daire | 3+1 | Villa tipi | 130 m²,40.000 TL44.000 TL
Karamürsel - 4 Temmuz Mahallesi,Daire | 2+1 | Çatı katı | 110 m²,22.000 TL
Karamürsel - Tepeköy Mahallesi,Daire | 1+1 | Çatı katı | 65 m²,19.000 TL
Karamürsel - 4 Temmuz Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,19.000 TL
Karamürsel - Kayacık Mahallesi,Daire | 2+1 | Çatı katı | 95 m²,22.000 TL
Karamürsel - Ereğli Mahallesi,Daire | 4+2 | Çatı katı | 160 m²,22.000 TL
Karamürsel - 4 Temmuz Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,25.000 TL
Karamürsel - Kayacık Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,18.500 TL
Karamürsel - 4 Temmuz Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,18.000 TL
Karamürsel - 4 Temmuz Mahallesi,Daire | 3+1 | 2. Kat | 100 m²,17.000 TL
