location,information,sales_price
Aydın - Nazilli,Daire | 3+1 | 3. Kat | 160 m²,18.000 TL
Samsun - Canik,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,10.000 TL
Van - İpekyolu,Daire | 1+1 | 6. Kat | 55 m²,15.000 TL
Kocaeli - İzmit,Daire | 3+1 | Kot 3 (-3). Kat | 85 m²,18.000 TL
İstanbul - Küçükçekmece,Daire | 2+1 | 1. Kat | 135 m²,22.500 TL
Samsun - 19 Mayıs,Daire | 2+1 | Yüksek giriş | 90 m²,28.000 TL
Bursa - Yıldırım,Daire | 4+1 | 4. Kat | 260 m²,29.750 TL
Konya - Akşehir,Daire | 3+1 | 4. Kat | 140 m²,13.000 TL
İstanbul - Bağcılar,Daire | 2+1 | 1. Kat | 90 m²,25.000 TL
İstanbul - Bağcılar,Daire | 3+1 | 4. Kat | 130 m²,24.500 TL
İzmir - Buca,Daire | 2+1 | 3. Kat | 80 m²,21.000 TL
Ankara - Mamak,Daire | 3+1 | 2. Kat | 125 m²,25.000 TL
Ankara - Sincan,Daire | 2+1 | Yüksek giriş | 90 m²,20.000 TL
Balıkesir - Bandırma,Daire | 1+1 | 3. Kat | 57 m²,18.750 TL
İzmir - Balçova,Daire | 3+1 | 4. Kat | 120 m²,23.000 TL
İstanbul - Avcılar,Daire | 3+1 | 2. Kat | 170 m²,26.000 TL
İzmir - Karşıyaka,Daire | 3+1 | Düz Giriş (Zemin) | 110 m²,25.000 TL
Gaziantep - Şahinbey,Daire | 2+1 | 2. Kat | 135 m²,13.000 TL
İstanbul - Beşiktaş,Daire | 2+1 | Bahçe katı | 110 m²,60.000 TL
İstanbul - Çekmeköy,Daire | 2+1 | Bahçe katı | 68 m²,21.000 TL
İzmir - Menemen,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,25.000 TL
İzmir - Karabağlar,Daire | 2+1 | 3. Kat | 100 m²,29.000 TL
Trabzon - Ortahisar,Daire | 1+1 | 2. Kat | 65 m²,19.000 TL
İzmir - Buca,Daire | 2+1 | Bahçe katı | 80 m²,20.000 TL
Eskişehir - Odunpazarı,Daire | 2+1 | 1. Kat | 110 m²,22.000 TL
İzmir - Karabağlar,Daire | 2+1 | Yüksek giriş | 140 m²,20.000 TL
Aydın - Efeler,Daire | 1+1 | 3. Kat | 52 m²,12.000 TL
İstanbul - Küçükçekmece,Daire | 1+1 | Yüksek giriş | 65 m²,18.000 TL
İstanbul - Maltepe,Daire | 2+1 | Yüksek giriş | 95 m²,27.000 TL
İzmir - Karşıyaka,Daire | 3+1 | 2. Kat | 130 m²,60.000 TL
İstanbul - Arnavutköy,Daire | 2+1 | 3. Kat | 90 m²,26.000 TL
Mersin - Yenişehir,Daire | 1+1 | 3. Kat | 75 m²,14.000 TL
Antalya - Alanya,Daire | 5+2 | Kot 4 (-4). Kat | 300 m²,30.000 TL
İstanbul - Üsküdar,Daire | 2+1 | Yüksek giriş | 95 m²,38.000 TL
İzmir - Karşıyaka,Daire | 3+1 | 2. Kat | 108 m²,25.000 TL
Bursa - Nilüfer,Daire | 1+1 | 4. Kat | 90 m²,30.000 TL
Çanakkale - Çanakkale Merkez,Daire | 2+1 | 4. Kat | 85 m²,20.000 TL
Niğde - Niğde Merkez,Daire | 3+1 | 10. Kat | 185 m²,28.000 TL
Yalova - Yalova Merkez,Daire | 2+1 | 4. Kat | 90 m²,24.000 TL
İstanbul - Sultangazi,Daire | 2+1 | 1. Kat | 95 m²,25.000 TL
Ankara - Altındağ,Daire | 3+1 | 7. Kat | 130 m²,19.000 TL
Adana - Sarıçam,Daire | 1+1 | 6. Kat | 50 m²,14.000 TL
