location,information,sales_price
Bodrum - Eskiçeşme Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,45.000 TL
Ortaca - Terzialiler Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,20.000 TL
Menteşe - Muslihittin Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,26.000 TL
Menteşe - Düğerek Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,35.000 TL
Menteşe - Yeniköy Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,22.000 TL
Dalaman - Merkez Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,17.000 TL
Yatağan - Akyol Mahallesi,Daire | 4+0 | 2. Kat | 110 m²,17.000 TL
Fethiye - Babataşı Mahallesi,Daire | Stüdyo | 2. Kat | 67 m²,32.000 TL
Marmaris - Bayır Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,25.000 TL
Fethiye - Çatalarık Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,25.000 TL
Bodrum - Gündoğan Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,120.000 TL
Marmaris - Sarıana Mahallesi,Daire | 1+1 | 1. Kat | 75 m²,35.000 TL
Bodrum - Akçaalan Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,45.000 TL
Bodrum - Peksimet Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,27.000 TL
Menteşe - Kötekli Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,20.000 TL
Bodrum - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 135 m²,205.000 TL
Menteşe - Kötekli Mahallesi,Daire | 1+1 | 2. Kat | 58 m²,20.000 TL
Bodrum - Turgutreis Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,35.000 TL
Bodrum - Turgutreis Mahallesi,Daire | 4+1 | 2. Kat | 140 m²,40.000 TL
Dalaman - Merkez Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,20.000 TL
Fethiye - Göcek Mahallesi,Daire | 3+1 | 2. Kat | 300 m²,400.000 TL
Marmaris - İçmeler Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,45.000 TL
Marmaris - Çıldır Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,60.000 TL
Fethiye - Foça Mahallesi,Daire | 1+1 | Yüksek giriş | 75 m²,25.000 TL
Marmaris - Sarıana Mahallesi,Daire | 1+1 | Bahçe katı | 35 m²,16.000 TL
Marmaris - Çetibeli Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,38.000 TL
Marmaris - Hisarönü Mahallesi,Daire | 2+1 | Müstakil | 90 m²,25.000 TL
Marmaris - Hisarönü Mahallesi,Daire | 1+1 | Müstakil | 75 m²,20.000 TL
Milas - Emek Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,22.000 TL
Milas - Emek Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,17.000 TL
Köyceğiz - Toparlar Mahallesi,Daire | 2+1 | Müstakil | 120 m²,20.000 TL
Köyceğiz - Ulucami Mahallesi,Daire | 3+1 | Yüksek giriş | 150 m²,29.000 TL
Bodrum - Dereköy Mahallesi,Daire | 2+1 | Bahçe katı | 85 m²,28.000 TL
Bodrum - Akyarlar Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,33.000 TL
Bodrum - Turgutreis Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,40.000 TL44.000 TL
Seydikemer - Gerişburnu Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,11.500 TL
Dalaman - Söğütlüyurt Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,18.000 TL
Bodrum - Kızılağaç Mahallesi,Daire | 3+1 | Bahçe katı | 120 m²,40.000 TL
Dalaman - Hürriyet Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,30.000 TL
Fethiye - Patlangıç Mahallesi,Daire | 3+1 | Bahçe katı | 150 m²,26.000 TL
Bodrum - Koyunbaba Mahallesi,Daire | 2+1 | Bahçe katı | 86 m²,35.000 TL
Marmaris - Söğüt Mahallesi,Daire | 1+1 | Çatı katı | 80 m²,25.000 TL
Menteşe - Kötekli Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,18.000 TL
Ortaca - Karaburun Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Fethiye - Foça Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,25.000 TL
Datça - İskele Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,30.000 TL
Menteşe - Kötekli Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,18.000 TL
Marmaris - Sarıana Mahallesi,Daire | 2+1 | Çatı Dubleks | 100 m²,55.000 TL
Dalaman - Atakent Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 66 m²,15.000 TL
Marmaris - Tepe Mahallesi,Daire | Stüdyo | 2. Kat | 40 m²,20.000 TL30.000 TL
Marmaris - Armutalan Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,35.000 TL
Fethiye - Patlangıç Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,25.000 TL
Ortaca - Bahçelievler Mahallesi,Daire | 3+1 | Yüksek giriş | 130 m²,30.000 TL
Ula - Demirtaş Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,26.000 TL
Bodrum - Dirmil Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,60.000 TL
Dalaman - Karaçalı Mahallesi,Daire | 4+1 | Villa tipi | 180 m²,45.000 TL
Bodrum - Torba Mahallesi,Daire | 3+1 | Bahçe katı | 130 m²,55.000 TL
Bodrum - Turgutreis Mahallesi,Daire | 2+0 | 2. Kat | 100 m²,42.000 TL
Bodrum - Çarşı Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,30.000 TL
Milas - Güneş Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,18.000 TL
Milas - Ören Mahallesi,Daire | 2+0 | Bahçe katı | 96 m²,60.000 TL
Ula - Akyaka Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,45.000 TL
Menteşe - Kötekli Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,18.000 TL
Menteşe - Kötekli Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,18.000 TL
Menteşe - Kötekli Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,20.000 TL
Fethiye - Tuzla Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,35.000 TL
Bodrum - Koyunbaba Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,55.000 TL
Marmaris - Tepe Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,33.000 TL
Dalaman - Merkez Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
Dalaman - Merkez Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,15.000 TL
Ortaca - Yerbelen Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,14.000 TL
Bodrum - Gündoğan Mahallesi,Daire | 4+1 | Bahçe katı | 140 m²,135.000 TL
Bodrum - Yeniköy Mahallesi,Daire | 3+1 | Bahçe katı | 95 m²,75.000 TL
Bodrum - Kumbahçe Mahallesi,Daire | 2+2 | Düz Giriş (Zemin) | 180 m²,120.000 TL
Marmaris - Turgut Mahallesi,Daire | 1+1 | Müstakil | 70 m²,25.000 TL
Bodrum - Dirmil Mahallesi,Daire | 3+1 | Bahçe katı | 128 m²,870.000 TL
Dalaman - Şerefler Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,16.000 TL
Dalaman - Atakent Mahallesi,Daire | 2+1 | Yüksek giriş | 66 m²,15.000 TL
Dalaman - Merkez Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,24.000 TL
Bodrum - Eskiçeşme Mahallesi,Daire | Stüdyo | Bahçe katı | 35 m²,40.000 TL
Bodrum - Bitez Mahallesi,Daire | 2+1 | Bahçe katı | 150 m²,100.000 TL
Marmaris - Hatipirimi Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,45.000 TL
Marmaris - Hisarönü Mahallesi,Daire | 1+1 | Bahçe katı | 70 m²,15.000 TL
Fethiye - Yanıklar Mahallesi,Daire | 2+1 | Bahçe katı | 70 m²,18.000 TL
Fethiye - Taşyaka Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,26.000 TL
Milas - Meşelik Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,18.000 TL
Bodrum - Türkkuyusu Mahallesi,Daire | 3+1 | 1. Kat | 95 m²,53.000 TL
Bodrum - Yeniköy Mahallesi,Daire | 3+1 | Bahçe katı | 125 m²,58.000 TL
Fethiye - Çiftlik Mahallesi,Daire | 1+1 | Kot 3 (-3). Kat | 120 m²,21.000 TL
Fethiye - Babataşı Mahallesi,Daire | Stüdyo | 2. Kat | 65 m²,32.000 TL
Fethiye - Babataşı Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,25.000 TL
Bodrum - Gümbet Mahallesi,Daire | 1+1 | Bahçe katı | 45 m²,55.000 TL
Bodrum - Yahşi Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,46.000 TL
Dalaman - Altıntas Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,25.000 TL
Dalaman - Hürriyet Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,17.000 TL
Fethiye - Foça Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,25.000 TL
Marmaris - Kemeraltı Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,60.000 TL
Marmaris - Armutalan Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,60.000 TL
Bodrum - Gündoğan Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,34.500 TL
Marmaris - Armutalan Mahallesi,Daire | 4+1 | 2. Kat | 190 m²,60.000 TL
Bodrum - Gümüşlük Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,40.000 TL45.000 TL
