location,information,sales_price
Atakum - Mimarsinan Mahallesi,Daire | 3+1 | Bahçe katı | 150 m²,20.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,10.500 TL
İlkadım - Kadıköy Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,18.500 TL
Atakum - Yeşildere Mahallesi,Daire | 1+1 | 1. Kat | 54 m²,15.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,16.000 TL
İlkadım - Hürriyet Mahallesi,Daire | 4+1 | 5. Kat | 200 m²,18.000 TL
İlkadım - Hürriyet Mahallesi,Daire | 3+1 | 1. Kat | 140 m²,14.500 TL
Atakum - Küçükkolpınar Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,16.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 58 m²,10.000 TL
İlkadım - Kadifekale Mahallesi,Daire | 3+0 | 5. Kat | 125 m²,14.500 TL
İlkadım - Fevzi Çakmak Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,12.500 TL
İlkadım - Hürriyet Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,10.500 TL
İlkadım - Kökçüoğlu Mahallesi,Daire | 3+0 | 4. Kat | 135 m²,14.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,14.500 TL
İlkadım - Rasathane Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,13.000 TL
İlkadım - Reşadiye Mahallesi,Daire | 2+1 | 6. Kat | 120 m²,13.000 TL
İlkadım - Hançerli Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,20.000 TL
İlkadım - Adalet Mahallesi,Daire | 3+1 | 6. Kat | 145 m²,26.000 TL
İlkadım - Adalet Mahallesi,Daire | 1+1 | Kot 3 (-3). Kat | 70 m²,13.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,18.000 TL
İlkadım - Çay Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,20.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 3+1 | Bahçe dublex | 135 m²,18.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,17.499 TL
İlkadım - Rasathane Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,20.000 TL
Atakum - Yeşildere Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,20.000 TL
İlkadım - Zafer Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,15.000 TL
İlkadım - Kalkancı Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,22.000 TL
Atakum - Mimarsinan Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,15.000 TL
İlkadım - Kadifekale Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 90 m²,10.000 TL
İlkadım - Karasamsun Mahallesi,Daire | 2+1 | 9. Kat | 120 m²,21.000 TL
Bafra - Çilhane Mahallesi,Daire | 4+1 | 3. Kat | 170 m²,20.000 TL
Atakum - Esenevler Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,13.000 TL
İlkadım - Kılıçdede Mahallesi,Daire | 2+1 | 6. Kat | 130 m²,23.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 2+1 | 6. Kat | 95 m²,21.000 TL
İlkadım - İstasyon Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,10.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,14.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,11.000 TL
İlkadım - Derebahçe Mahallesi,Daire | 3+1 | 9. Kat | 150 m²,28.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,12.500 TL
İlkadım - Unkapanı Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,11.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,10.000 TL
İlkadım - Fevzi Çakmak Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,10.000 TL
İlkadım - Fevzi Çakmak Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,10.000 TL
İlkadım - İstasyon Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,13.000 TL
İlkadım - Kadıköy Mahallesi,Daire | 4+1 | 6. Kat | 194 m²,23.500 TL
İlkadım - Adalet Mahallesi,Daire | 3+1 | 7. Kat | 150 m²,20.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,22.500 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,16.000 TL
Canik - Uludağ Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,27.000 TL
Atakum - İstiklal Mahallesi,Daire | 3+1 | 4. Kat | 165 m²,30.000 TL
Atakum - Esenevler Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 80 m²,15.200 TL
İlkadım - Hürriyet Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,17.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,14.000 TL
Atakum - Beypınar Mahallesi,Daire | 4+1 | 6. Kat | 210 m²,45.000 TL
Atakum - Beypınar Mahallesi,Daire | 4+1 | 4. Kat | 210 m²,43.000 TL
Atakum - Alanlı Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,14.000 TL
İlkadım - Zafer Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,15.000 TL
İlkadım - Hürriyet Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,10.000 TL
İlkadım - Zafer Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,10.000 TL11.000 TL
İlkadım - Hürriyet Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,10.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 4+1 | 4. Kat | 250 m²,19.000 TL
İlkadım - Çiftlik Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,17.000 TL
İlkadım - Hürriyet Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,13.000 TL
İlkadım - Zafer Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,10.000 TL12.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 1. Kat | 52 m²,10.000 TL
İlkadım - Kadıköy Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,13.000 TL
İlkadım - Rasathane Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,17.000 TL
Atakum - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,16.000 TL
İlkadım - Liman Mahallesi,Daire | 3+1 | 10. Kat | 130 m²,20.000 TL
Atakum - Körfez Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,15.000 TL17.000 TL
Atakum - Yenimahalle Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,22.000 TL
