location,information,sales_price
Mezitli - Akdeniz Mahallesi,Daire | 4+1 | 8. Kat | 210 m²,30.000 TL
Mezitli - Deniz Mahallesi,Daire | 1+1 | 8. Kat | 70 m²,12.500 TL
Mezitli - Atatürk Mahallesi,Daire | 3+1 | 1. Kat | 180 m²,20.000 TL
Erdemli - Tömük Mahallesi,Daire | 1+1 | 7. Kat | 70 m²,15.000 TL
Mezitli - İstiklal Mahallesi,Daire | 3+1 | 10. Kat | 180 m²,20.000 TL
Erdemli - Tömük Mahallesi,Daire | 2+1 | 7. Kat | 95 m²,20.000 TL
Mezitli - Atatürk Mahallesi,Daire | 3+1 | 4. Kat | 180 m²,25.000 TL
Erdemli - Tömük Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,17.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 3+1 | 6. Kat | 160 m²,25.000 TL
Mezitli - 75. Yıl Mahallesi,Daire | 3+1 | 5. Kat | 159 m²,20.000 TL
Erdemli - Ayaş Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,16.000 TL
Yenişehir - Batıkent Mahallesi,Daire | 4+3 | 12. Kat | 350 m²,650.000 TL
Mezitli - Seymenli Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,120.000 TL
Mezitli - Viranşehir Mahallesi,Daire | 3+1 | 13. Kat | 205 m²,300.000 TL
Mezitli - Yeni Mahallesi,Daire | 1+1 | 8. Kat | 50 m²,12.500 TL
Mezitli - Tece Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,20.000 TL
Mezitli - Menderes Mahallesi,Daire | 2+1 | 10. Kat | 90 m²,18.000 TL
Erdemli - Çeşmeli Mahallesi,Daire | 2+1 | 8. Kat | 130 m²,250.000 TL
Mezitli - Atatürk Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,25.000 TL
Erdemli - Arpaçbahşiş Mahallesi,Daire | 2+1 | 10. Kat | 128 m²,13.000 TL
Erdemli - Tömük Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,35.000 TL
Yenişehir - Fuatmorel Mahallesi,Daire | 1.5+1 | 5. Kat | 85 m²,380.000 TL
Erdemli - Çeşmeli Mahallesi,Daire | 1+1 | 2. Kat | 58 m²,12.000 TL
Mezitli - Davultepe Mahallesi,Daire | 1+1 | 2. Kat | 90 m²,245.000 TL
Erdemli - Tömük Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,37.000 TL
Yenişehir - Eğriçam Mahallesi,Daire | 3+1 | 1. Kat | 220 m²,20.000 TL
Yenişehir - Aydınlıkevler Mahallesi,Daire | 3+1 | 1. Kat | 155 m²,20.000 TL
Erdemli - Arpaçbahşiş Mahallesi,Daire | 1+1 | 7. Kat | 60 m²,10.000 TL
Akdeniz - Mahmudiye Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,15.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 2+1 | 7. Kat | 95 m²,20.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 6. Kat | 60 m²,20.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,4.500.000 TL
Erdemli - Tömük Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,70.000 TL
Erdemli - Tömük Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,70.000 TL
Erdemli - Arpaçbahşiş Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,12.000 TL
Erdemli - Kızkalesi Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,3.500 TL
Erdemli - Arpaçbahşiş Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,12.000 TL
Erdemli - Kızkalesi Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,3.500 TL
Erdemli - Tömük Mahallesi,Daire | 1+1 | Yüksek giriş | 90 m²,3.499 TL
Erdemli - Tömük Mahallesi,Daire | 2+1 | 6. Kat | 120 m²,90.000 TL
Erdemli - Tömük Mahallesi,Daire | 2+1 | 2. Kat | 145 m²,90.000 TL
Mezitli - Deniz Mahallesi,Daire | 1+1 | 1. Kat | 68 m²,15.000 TL
Mezitli - Deniz Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.000 TL
Silifke - Yeşilovacık Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,19.000 TL23.000 TL
Erdemli - Çeşmeli Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,22.000 TL
Yenişehir - İnönü Mahallesi,Daire | 4+1 | 5. Kat | 240 m²,230.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 3+1 | 3. Kat | 165 m²,25.000 TL
Erdemli - Limonlu Mahallesi,Daire | 2+1 | 7. Kat | 120 m²,20.000 TL
Mezitli - Deniz Mahallesi,Daire | 2+1 | 8. Kat | 120 m²,20.000 TL
Erdemli - Arpaçbahşiş Mahallesi,Daire | 1+1 | 13. Kat | 68 m²,25.000 TL35.000 TL
Erdemli - Çeşmeli Mahallesi,Daire | 2+1 | 7. Kat | 155 m²,4.000 TL4.500 TL
Yenişehir - Limonluk Mahallesi,Daire | 2+1 | 12. Kat | 170 m²,32.000 TL
Yenişehir - Cumhuriyet Mahallesi,Daire | 2+1 | 5. Kat | 125 m²,18.000 TL
Erdemli - Alata Mahallesi,Daire | 1+1 | 4. Kat | 58 m²,15.000 TL
Erdemli - Alata Mahallesi,Daire | 1+1 | 3. Kat | 80 m²,15.000 TL
Erdemli - Alata Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,2.500 TL3.000 TL
Yenişehir - Cumhuriyet Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,28.000 TL
Mezitli - Fatih Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 50 m²,10.000 TL
Tarsus - Bağlar Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,16.000 TL
Tarsus - Bağlar Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,155.000 TL
Mezitli - Fatih Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,12.000 TL
Mezitli - Davultepe Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,15.000 TL
Mezitli - Menderes Mahallesi,Daire | 4+1 | 5. Kat | 210 m²,400.000 TL
Yenişehir - Akkent Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,22.500 TL
Mezitli - Menderes Mahallesi,Daire | 2+1 | 8. Kat | 105 m²,20.000 TL
Anamur - Güzelyurt Mahallesi,Daire | 3+1 | 1. Kat | 153 m²,25.000 TL
Mezitli - 75. Yıl Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,20.000 TL
Akdeniz - Mesudiye Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,15.000 TL
Tarsus - Takbaş Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,20.000 TL
Mezitli - Menderes Mahallesi,Daire | 2+1 | 6. Kat | 140 m²,25.000 TL
Tarsus - Beydeğirmeni Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,16.000 TL
Yenişehir - Pirireis Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,16.000 TL
Toroslar - Sağlık Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,15.000 TL
Erdemli - Akdeniz Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,13.000 TL
Erdemli - Alata Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Akdeniz - İhsaniye Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,12.000 TL
Yenişehir - Pirireis Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,15.000 TL
Erdemli - Kargıcak Mahallesi,Daire | 1.5+1 | 4. Kat | 75 m²,17.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 3. Kat | 75 m²,14.000 TL
Yenişehir - Güvenevler Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,17.500 TL
Mezitli - İstiklal Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,17.000 TL
Erdemli - Koyuncu Mahallesi,Daire | 2+1 | 6. Kat | 125 m²,15.000 TL
Mezitli - Tece Mahallesi,Daire | 1+1 | 7. Kat | 60 m²,14.000 TL
Mezitli - Yeni Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,300.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,19.500 TL
Akdeniz - Nusratiye Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,12.500 TL
