location,information,sales_price
Mezitli - Menderes Mahallesi,Daire | 3+1 | 5. Kat | 165 m²,22.000 TL
Mezitli - Merkez Mahallesi,Daire | 3+1 | 11. Kat | 175 m²,30.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,22.500 TL
Yenişehir - Aydınlıkevler Mahallesi,Daire | 4+1 | 2. Kat | 190 m²,25.000 TL
Yenişehir - Menteş Mahallesi,Daire | 3+1 | 5. Kat | 185 m²,34.000 TL
Mezitli - Viranşehir Mahallesi,Daire | 3+1 | 7. Kat | 175 m²,25.000 TL
Akdeniz - Yeni Mahallesi,Daire | 1+1 | 5. Kat | 90 m²,12.000 TL
Yenişehir - Bahçelievler Mahallesi,Daire | 4+1 | 4. Kat | 220 m²,27.000 TL
Akdeniz - Çankaya Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,15.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 3+1 | 8. Kat | 110 m²,37.000 TL
Erdemli - Arpaçbahşiş Mahallesi,Daire | 1+1 | 1. Kat | 69 m²,11.000 TL
Tarsus - Bağlar Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,15.500 TL
Erdemli - Çeşmeli Mahallesi,Daire | 1+1 | 10. Kat | 60 m²,20.000 TL
Mezitli - Deniz Mahallesi,Daire | 3.5+1 | 4. Kat | 170 m²,35.000 TL
Erdemli - Çeşmeli Mahallesi,Daire | 1+1 | 10. Kat | 60 m²,20.000 TL
Mezitli - Deniz Mahallesi,Daire | 3.5+1 | 4. Kat | 170 m²,35.000 TL
Mezitli - Tece Mahallesi,Daire | 1+1 | 6. Kat | 50 m²,15.000 TL
Yenişehir - Güvenevler Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,32.000 TL
Akdeniz - İhsaniye Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,9.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 3+1 | 2. Kat | 185 m²,35.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 2+1 | 1. Kat | 74 m²,20.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,25.000 TL
Yenişehir - Hürriyet Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,23.000 TL
Yenişehir - Batıkent Mahallesi,Daire | 3+1 | 9. Kat | 180 m²,35.000 TL
Yenişehir - Kuzeykent Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,27.500 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 2+1 | 12. Kat | 115 m²,35.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 6. Kat | 85 m²,37.000 TL
Mezitli - Yeni Mahallesi,Daire | 3+1 | 5. Kat | 170 m²,18.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,18.000 TL
Tarsus - Şehitler Tepesi Mahallesi,Daire | 4+1 | 1. Kat | 170 m²,27.000 TL
Mezitli - Eski Mezitli Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,13.000 TL
Erdemli - Kargıcak Mahallesi,Daire | 1+1 | 5. Kat | 85 m²,17.000 TL
Yenişehir - Hürriyet Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,255.000 TL
Yenişehir - Aydınlıkevler Mahallesi,Daire | 4+1 | 2. Kat | 190 m²,25.000 TL
Mezitli - Menderes Mahallesi,Daire | 3+1 | 10. Kat | 165 m²,20.000 TL
Erdemli - Arpaçbahşiş Mahallesi,Daire | 1+1 | 7. Kat | 70 m²,15.000 TL
Silifke - Gazi Mahallesi,Daire | 4+1 | 10. Kat | 145 m²,25.000 TL
Silifke - Sarıcalar Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,21.000 TL
Yenişehir - Turunçlu Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,12.000 TL
Mezitli - Yeni Mahallesi,Daire | 1+1 | 8. Kat | 45 m²,18.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 3+1 | 8. Kat | 180 m²,30.000 TL
Yenişehir - Akkent Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,30.000 TL
Yenişehir - Gazi Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,250.000 TL
