location,information,sales_price
Arifiye - Neviye Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,18.000 TL
Arifiye - Arifbey Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 135 m²,16.000 TL
Arifiye - Arifbey Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,18.000 TL
Söğütlü - Cami Cedit Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,12.500 TL
Akyazı - Yunus Emre Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,10.000 TL
Erenler - Dilmen Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,14.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,18.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 80 m²,17.000 TL
Hendek - Başpınar Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,17.500 TL
Adapazarı - Mithatpaşa Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,20.000 TL22.000 TL
Karasu - Yalı Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,14.500 TL
Akyazı - Ömercikler Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 130 m²,15.000 TL
Serdivan - Yazlık Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,25.000 TL
Adapazarı - Yağcılar Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,30.000 TL
Sapanca - Göl Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,42.000 TL
Adapazarı - Yeni Cami Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,15.000 TL
Adapazarı - Yağcılar Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 135 m²,30.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,24.000 TL
Adapazarı - Kurtuluş Mahallesi,Daire | 3+1 | 1. Kat | 150 m²,20.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 1+1 | 3. Kat | 40 m²,17.000 TL
Adapazarı - Yahyalar Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 100 m²,15.000 TL
Adapazarı - Yenidoğan Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,18.000 TL
Adapazarı - Korucuk Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,20.000 TL
Adapazarı - Korucuk Mahallesi,Daire | 2+1 | Kot 3 (-3). Kat | 85 m²,13.500 TL14.500 TL
Serdivan - Bahçelievler Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,20.000 TL
Arifiye - Aşağı Kirazca Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,13.000 TL
Hendek - Başpınar Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,16.000 TL
Adapazarı - Papuççular Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,23.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,24.000 TL
Söğütlü - Cami Cedit Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,8.000 TL
Erenler - Bağlar Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,15.000 TL
Arifiye - Aşağı Kirazca Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,20.000 TL
Karasu - Aziziye Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,15.000 TL
Adapazarı - Maltepe Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,11.000 TL
Adapazarı - Mithatpaşa Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,19.000 TL
Adapazarı - Papuççular Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,17.500 TL
Adapazarı - Şeker Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,17.500 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,17.000 TL
Adapazarı - 15 Temmuz Camili Mahallesi,Daire | 3+1 | 4. Kat | 110 m²,15.500 TL
Akyazı - Hastahane Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 49 m²,7.000 TL
Akyazı - Konuralp Mahallesi,Daire | 3+1 | Bahçe katı | 120 m²,18.000 TL
Akyazı - Ömercikler Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,15.000 TL
Adapazarı - Yağcılar Mahallesi,Daire | 1 Oda | 2. Kat | 45 m²,10.000 TL
Sapanca - Gazipaşa Mahallesi,Daire | 3+1 | 3. Kat | 152 m²,21.000 TL
Sapanca - Gazipaşa Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,28.000 TL
Adapazarı - Yenigün Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,17.500 TL
Serdivan - Arabacıalanı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 114 m²,15.500 TL
Adapazarı - Papuççular Mahallesi,Daire | 3+1 | 3. Kat | 140 m²,18.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | 2. Kat | 65 m²,17.000 TL
Serdivan - Otuziki Evler Mahallesi,Daire | 2+1 | Bahçe katı | 150 m²,32.000 TL
Adapazarı - Çukurahmediye Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,13.500 TL
Adapazarı - Korucuk Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,32.500 TL
Adapazarı - Yağcılar Mahallesi,Daire | 3+1 | 2. Kat | 110 m²,19.000 TL21.000 TL
Hendek - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,20.000 TL
Hendek - Yeni Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,15.000 TL
Adapazarı - Korucuk Mahallesi,Daire | 1+1 | 1. Kat | 56 m²,8.000 TL
Karasu - Yalı Mahallesi,Daire | 2+1 | 5. Kat | 78 m²,15.000 TL
Serdivan - Kemalpaşa Mahallesi,Daire | 2+1 | 1. Kat | 90 m²,6.000 TL
Söğütlü - Cami Cedit Mahallesi,Daire | 2+1 | 1. Kat | 50 m²,10.000 TL
