location,information,sales_price
Isparta Merkez - Karaağaç Mahallesi,Daire | 2+1 | Çatı katı | 100 m²,10.000 TL
Isparta Merkez - Pirimehmet Mahallesi,Daire | Stüdyo | 1. Kat | 30 m²,5.500 TL
Isparta Merkez - Pirimehmet Mahallesi,Daire | Stüdyo | 3. Kat | 30 m²,6.500 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 1. Kat | 50 m²,9.500 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 2+1 | 2. Kat | 64 m²,9.500 TL
Isparta Merkez - Anadolu Mahallesi,Daire | 3+1 | 5. Kat | 110 m²,10.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 1+1 | 1. Kat | 48 m²,9.000 TL
Isparta Merkez - Pirimehmet Mahallesi,Daire | 2+1 | 1. Kat | 55 m²,12.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | Stüdyo | 3. Kat | 32 m²,7.000 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 1+1 | Çatı katı | 70 m²,8.000 TL
Isparta Merkez - Sanayi Mahallesi,Daire | 2+1 | 1. Kat | 65 m²,10.000 TL
Isparta Merkez - Pirimehmet Mahallesi,Daire | 2+1 | 3. Kat | 50 m²,10.000 TL
Isparta Merkez - Sanayi Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,10.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | Bahçe katı | 50 m²,9.000 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 2+1 | 1. Kat | 50 m²,10.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | Stüdyo | 3. Kat | 40 m²,9.000 TL
Isparta Merkez - İskender Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,11.500 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | Bahçe katı | 37 m²,7.500 TL
Isparta Merkez - Fatih Mahallesi,Daire | 2+1 | 2. Kat | 50 m²,14.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 1+1 | Bahçe katı | 40 m²,9.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,9.000 TL
Isparta Merkez - Pirimehmet Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,14.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | 3. Kat | 35 m²,7.500 TL
Isparta Merkez - Gülcü Mahallesi,Daire | 3+1 | 1. Kat | 120 m²,9.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 45 m²,17.000 TL
Isparta Merkez - Çünür Mahallesi,Daire | 2+1 | 3. Kat | 55 m²,11.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 2+1 | 2. Kat | 35 m²,11.000 TL14.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | Stüdyo | Çatı katı | 32 m²,9.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | 2+1 | Çatı katı | 60 m²,12.000 TL14.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | 2. Kat | 35 m²,7.000 TL
Isparta Merkez - Sanayi Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,22.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | 2. Kat | 40 m²,8.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | 1. Kat | 45 m²,9.000 TL
Isparta Merkez - Bahçelievler Mahallesi,Daire | Stüdyo | 1. Kat | 35 m²,9.000 TL
Isparta Merkez - Sanayi Mahallesi,Daire | 2+1 | 1. Kat | 60 m²,10.000 TL
Isparta Merkez - İskender Mahallesi,Daire | 1+1 | 3. Kat | 35 m²,7.000 TL
Isparta Merkez - Fatih Mahallesi,Daire | Stüdyo | 2. Kat | 35 m²,7.000 TL
Isparta Merkez - Pirimehmet Mahallesi,Daire | 2+1 | 2. Kat | 55 m²,12.000 TL
Isparta Merkez - Pirimehmet Mahallesi,Daire | Stüdyo | 1. Kat | 30 m²,7.000 TL
Isparta Merkez - Sanayi Mahallesi,Daire | 2+1 | 2. Kat | 55 m²,10.000 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 2+1 | 1. Kat | 50 m²,9.000 TL
Isparta Merkez - Modern Evler Mahallesi,Daire | 2+0 | Bahçe katı | 45 m²,7.500 TL
Isparta Merkez - Sanayi Mahallesi,Daire | 2+1 | Kot 2 (-2). Kat | 55 m²,10.000 TL
