location,information,sales_price
Karşıyaka - Bostanlı Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,37.000 TL
Bornova - Koşukavak Mahallesi,Daire | 3+1 | 2. Kat | 105 m²,18.000 TL
Ödemiş - İnönü Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,18.000 TL
Bayraklı - Emek Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,40.000 TL
Bornova - Atatürk Mahallesi,Daire | 3+1 | Bahçe katı | 115 m²,25.000 TL
Bergama - Fatih Mahallesi,Daire | 2+1 | 4. Kat | 80 m²,18.000 TL
Menemen - Uğur Mumcu Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,22.500 TL
Buca - Yıldız Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,15.000 TL
Çiğli - Yeni Mahalle Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,23.000 TL
Karabağlar - Bahar Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,19.500 TL
Buca - Menderes Mahallesi,Daire | 1+1 | 1. Kat | 72 m²,25.000 TL
Karşıyaka - Mustafa Kemal Mahallesi,Daire | 3+1 | 5. Kat | 116 m²,33.000 TL
Aliağa - Siteler Mahallesi,Daire | 3+1 | 4. Kat | 90 m²,26.000 TL
Buca - Aydoğdu Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,31.000 TL33.000 TL
Karşıyaka - Zübeyde Hanım Mahallesi,Daire | 3+1 | 8. Kat | 135 m²,29.000 TL
Çiğli - Küçük Çiğli Mahallesi,Daire | 2+1 | 3. Kat | 80 m²,26.000 TL
Konak - Mithatpaşa Mahallesi,Daire | 3+1 | 5. Kat | 135 m²,35.000 TL
Buca - Yıldız Mahallesi,Daire | 1+1 | 1. Kat | 42 m²,20.000 TL
Çiğli - Balatçık Mahallesi,Daire | 1+1 | 7. Kat | 50 m²,24.000 TL
Bornova - Kazımdirik Mahallesi,Daire | Stüdyo | 7. Kat | 45 m²,28.000 TL
Urla - Yenikent Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,45.000 TL
Urla - Denizli Mahallesi,Daire | 1+1 | Bahçe katı | 48 m²,50.000 TL
Urla - Denizli Mahallesi,Daire | 2+1 | Bahçe katı | 70 m²,85.000 TL
Urla - Yaka Mahallesi,Daire | 3+1 | Bahçe katı | 140 m²,55.000 TL
Urla - Atatürk Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,45.000 TL
Güzelbahçe - Siteler Mahallesi,Daire | 2+1 | 1. Kat | 85 m²,45.000 TL
Karabağlar - Doğanay Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 95 m²,20.000 TL
Karabağlar - Tahsin Yazıcı Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,30.000 TL
Karabağlar - Doğanay Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,29.000 TL
Balçova - Eğitim Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,22.000 TL
Karabağlar - Doğanay Mahallesi,Daire | 5+1 | 2. Kat | 330 m²,38.500 TL
