location,information,sales_price
Selçuklu - Feritpaşa Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,22.000 TL26.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 130 m²,26.500 TL
Selçuklu - Hocacihan Mahallesi,Daire | 4+1 | 6. Kat | 230 m²,32.000 TL
Selçuklu - Sancak Mahallesi,Daire | 5+1 | 4. Kat | 250 m²,47.500 TL
Akşehir - İstasyon Mahallesi,Daire | 1+1 | 2. Kat | 75 m²,17.000 TL
Selçuklu - Sancak Mahallesi,Daire | 4+1 | 13. Kat | 210 m²,42.500 TL
Ereğli - Toros Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,8.000 TL
Meram - Hatıp Mahallesi,Daire | 3+1 | 7. Kat | 160 m²,22.000 TL
Akşehir - Adsız Mahallesi,Daire | 4+1 | Yüksek giriş | 170 m²,10.000 TL
Meram - Sahibiata Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 155 m²,12.000 TL
Selçuklu - Hocacihan Mahallesi,Daire | 4+2 | 7. Kat | 450 m²,85.000 TL
Ereğli - Toros Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,8.000 TL
Selçuklu - Nişantaş Mahallesi,Daire | 5+1 | 10. Kat | 265 m²,29.500 TL
Akşehir - Yeni Mahallesi,Daire | 4+1 | 5. Kat | 210 m²,22.000 TL
Selçuklu - Yazır Mahallesi,Daire | 5+1 | 4. Kat | 220 m²,25.000 TL
Karatay - Akabe Mahallesi,Daire | 1+1 | 5. Kat | 75 m²,18.000 TL
Akşehir - Kozağaç Mahallesi,Daire | 3+1 | 5. Kat | 140 m²,15.000 TL
Meram - Konevi Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,15.000 TL18.000 TL
Selçuklu - Kosova Mahallesi,Daire | 1 Oda | Düz Giriş (Zemin) | 80 m²,15.000 TL
Akşehir - Yarenler Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,12.000 TL
Akşehir - Seyran Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,15.000 TL
Akşehir - Yeni Mahallesi,Daire | 3+1 | 2. Kat | 100 m²,14.500 TL
Akşehir - Meydan Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,5.000 TL
Akşehir - İstasyon Mahallesi,Daire | 2+1 | 4. Kat | 140 m²,2.000.000 TL
Seydişehir - Alaylar Bir Mahallesi,Daire | 3+0 | Bahçe katı | 50 m²,2.000 TL
Akşehir - Seyran Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,19.000 TL
Seydişehir - Ulukapı Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,15.000 TL
Selçuklu - Selçuk Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,35.000 TL
Karatay - Gaziosmanpaşa Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,2.700.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 3+1 | Kot 3 (-3). Kat | 130 m²,2.725.000 TL
Selçuklu - Binkonutlar Mahallesi,Daire | 2.5+1 | Yüksek giriş | 120 m²,17.000 TL19.000 TL
Akşehir - Meydan Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,20.000 TL
Selçuklu - Parsana Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,18.000 TL
Akşehir - Altunkalem Mahallesi,Daire | 2+1 | Yüksek giriş | 135 m²,1.900.000 TL
Selçuklu - Bosna Hersek Mahallesi,Daire | 2+1 | 5. Kat | 45 m²,16.000 TL
