location,information,sales_price
Haliliye - İmam Bakır Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,13.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,9.000 TL
Haliliye - Sultan Fatih Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,6.000 TL
Karaköprü - Doğukent Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,18.200 TL
Karaköprü - Akpıyar Mahallesi,Daire | 4+3 | 11. Kat | 450 m²,475.000 TL
Karaköprü - Mehmetçik Mahallesi,Daire | 3+1 | 9. Kat | 175 m²,21.500 TL
Haliliye - Cengiz Topel Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,10.000 TL
Haliliye - Yeşildirek Mahallesi,Daire | 1+1 | 4. Kat | 50 m²,10.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,15.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,13.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,18.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 2. Kat | 86 m²,16.000 TL
Karaköprü - Mehmetçik Mahallesi,Daire | 4+1 | 4. Kat | 235 m²,39.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 10. Kat | 110 m²,13.500 TL
Haliliye - Selahaddin Eyyübi Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,14.500 TL
Karaköprü - Akpıyar Mahallesi,Daire | 3+1 | 5. Kat | 180 m²,23.000 TL
Haliliye - Paşabağı Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,10.500 TL
Eyyübiye - Batıkent Mahallesi,Daire | 3+1 | Yüksek giriş | 107 m²,7.500 TL8.000 TL
Karaköprü - Atakent Mahallesi,Daire | 2+1 | 8. Kat | 110 m²,18.000 TL
Karaköprü - Ali Baba Mahallesi,Daire | 2+1 | 5. Kat | 125 m²,19.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,11.500 TL
Haliliye - Yenişehir Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,8.500 TL
Karaköprü - Doğukent Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,19.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 85 m²,12.000 TL
Karaköprü - Narlıkuyu Mahallesi,Daire | 2+0 | 8. Kat | 60 m²,11.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,12.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 10. Kat | 110 m²,12.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,17.000 TL
Haliliye - Refahiye Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,13.500 TL
Karaköprü - Narlıkuyu Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,15.000 TL
Haliliye - Yenişehir Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,12.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 3+1 | 5. Kat | 145 m²,16.000 TL17.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,15.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,11.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,11.000 TL
Karaköprü - Akpıyar Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,16.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+0 | 6. Kat | 60 m²,16.500 TL
Haliliye - Bamyasuyu Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,14.000 TL
Haliliye - Yenişehir Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 145 m²,10.000 TL
Haliliye - Ertuğrul Gazi Mahallesi,Daire | 4+1 | 1. Kat | 250 m²,28.000 TL
Eyyübiye - Batıkent Mahallesi,Daire | 2+1 | Yüksek giriş | 87 m²,7.000 TL
Haliliye - Hamidiye Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,11.500 TL13.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,9.000 TL10.000 TL
Haliliye - Refahiye Mahallesi,Daire | 1+1 | 4. Kat | 90 m²,15.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,9.500 TL
Haliliye - Yeşildirek Mahallesi,Daire | 2+1 | 4. Kat | 120 m²,9.500 TL
Karaköprü - Şenevler Mahallesi,Daire | 4+1 | 7. Kat | 280 m²,30.000 TL
Karaköprü - Çankaya Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,17.500 TL
Karaköprü - Narlıkuyu Mahallesi,Daire | 3+1 | 7. Kat | 175 m²,21.000 TL
Haliliye - Sırrın Mahallesi,Daire | 2+0 | 4. Kat | 60 m²,9.500 TL
Karaköprü - Doğukent Mahallesi,Daire | 2+0 | 5. Kat | 100 m²,19.000 TL
Haliliye - Bahçelievler Mahallesi,Daire | 1+1 | 1. Kat | 72 m²,15.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 65 m²,9.000 TL
Haliliye - Yenişehir Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL16.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 5+1 | 3. Kat | 236 m²,37.000 TL
Eyyübiye - Yenice Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,8.000 TL
Haliliye - Sırrın Mahallesi,Daire | Stüdyo | 4. Kat | 40 m²,9.000 TL
Karaköprü - Doğukent Mahallesi,Daire | 2+1 | 9. Kat | 100 m²,13.999 TL
Karaköprü - Mehmetçik Mahallesi,Daire | 3+1 | 1. Kat | 200 m²,42.000 TL
Haliliye - Sırrın Mahallesi,Daire | 3+1 | 1. Kat | 180 m²,18.750 TL
Haliliye - Dağeteği Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,10.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,13.000 TL
Haliliye - Ulubatlı Mahallesi,Daire | 2+1 | 4. Kat | 150 m²,8.500 TL
Karaköprü - Narlıkuyu Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,18.500 TL20.000 TL
Haliliye - Cengiz Topel Mahallesi,Daire | 1+1 | 2. Kat | 85 m²,14.000 TL15.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,15.000 TL
Eyyübiye - Batıkent Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,8.500 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,19.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,10.000 TL
Haliliye - Kamberiye Mahallesi,Daire | 1 Oda | Düz Giriş (Zemin) | 25 m²,15.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2+1 | 5. Kat | 97 m²,15.500 TL
Karaköprü - Narlıkuyu Mahallesi,Daire | 1+1 | Kot 1 (-1). Kat | 60 m²,11.000 TL12.500 TL
Karaköprü - Akpıyar Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,15.000 TL
Karaköprü - Narlıkuyu Mahallesi,Daire | 3+1 | 9. Kat | 175 m²,17.000 TL
Karaköprü - Akpıyar Mahallesi,Daire | 2+0 | 2. Kat | 70 m²,9.000 TL10.000 TL
Karaköprü - Akpıyar Mahallesi,Daire | 3+1 | 5. Kat | 160 m²,17.500 TL
Haliliye - Dağeteği Mahallesi,Daire | 2+1 | 6. Kat | 85 m²,7.500 TL
Haliliye - Şair Nabi Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,20.000 TL
Haliliye - Yeşildirek Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,8.500 TL9.500 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,15.000 TL
Karaköprü - Seyrantepe Mahallesi,Daire | 2.5+1 | 7. Kat | 85 m²,11.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,12.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 1+1 | 1. Kat | 70 m²,15.000 TL
Haliliye - Karsıyaka Mahallesi,Daire | 2+1 | 5. Kat | 90 m²,18.250 TL
Karaköprü - Atakent Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,18.000 TL
Haliliye - Sırrın Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,10.000 TL
Haliliye - Yeşildirek Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,13.000 TL17.000 TL
Haliliye - Sırrın Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,13.500 TL
Karaköprü - Batıkent Mahallesi,Daire | 2+0 | 4. Kat | 64 m²,11.000 TL
Karaköprü - Şenevler Mahallesi,Daire | 4+1 | 5. Kat | 230 m²,15.000 TL
Karaköprü - Batıkent Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,9.000 TL
Haliliye - Selahaddin Eyyübi Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,16.000 TL
