location,information,sales_price
Alanya - Çıplaklı Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,20.000 TL
Alanya - Tepe Mahallesi,Daire | 5+1 | Bahçe katı | 220 m²,30.000 TL
Döşemealtı - Yeniköy Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,17.000 TL
Manavgat - Örnek Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,22.000 TL
Konyaaltı - Liman Mahallesi,Daire | 1+1 | Bahçe katı | 50 m²,25.000 TL
Konyaaltı - Kuşkavağı Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,45.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,32.000 TL
Manavgat - Emek Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,25.000 TL
Kepez - Ulus Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,18.000 TL
Muratpaşa - Yenigün Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,45.000 TL
Muratpaşa - Yenigün Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,24.000 TL
Kepez - Göksu Mahallesi,Daire | 1+1 | Bahçe katı | 70 m²,20.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,18.000 TL
Kepez - Ayanoğlu Mahallesi,Daire | 2+1 | 4. Kat | 60 m²,25.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,19.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,52.000 TL
Aksu - Altıntaş Mahallesi,Daire | 2+1 | 4. Kat | 75 m²,31.000 TL
Kepez - Göksu Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,30.000 TL
Döşemealtı - Bahçeyaka Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,14.000 TL
Kepez - Yeni Doğan Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,25.000 TL
Kepez - Gülveren Mahallesi,Daire | 2+1 | Yüksek giriş | 75 m²,22.500 TL
Kepez - Ahatlı Mahallesi,Daire | 2+1 | Yüksek giriş | 85 m²,20.000 TL
Kepez - Ahatlı Mahallesi,Daire | 3+1 | 1. Kat | 130 m²,30.000 TL
Kepez - Yeni Emek Mahallesi,Daire | 2+1 | 5. Kat | 95 m²,31.000 TL
Muratpaşa - Gebizli Mahallesi,Daire | 2+1 | 2. Kat | 55 m²,21.000 TL
Muratpaşa - Gebizli Mahallesi,Daire | 2+1 | 2. Kat | 55 m²,21.000 TL
Finike - Sahilkent Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,25.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 1+1 | Bahçe katı | 50 m²,27.000 TL
Muratpaşa - Zerdalilik Mahallesi,Daire | 2+1 | 2. Kat | 125 m²,27.000 TL
Muratpaşa - Yenigün Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,26.500 TL
Kepez - Kütükçü Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,15.000 TL
Kepez - Çankaya Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,20.000 TL
Kepez - Habibler Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,30.000 TL
Konyaaltı - Liman Mahallesi,Daire | 3+1 | 4. Kat | 160 m²,60.000 TL
Konyaaltı - Liman Mahallesi,Daire | 2+1 | 2. Kat | 80 m²,45.000 TL
Konyaaltı - Siteler Mahallesi,Daire | 3+1 | 9. Kat | 135 m²,34.000 TL
Konyaaltı - Öğretmenevleri Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,40.000 TL
Kepez - Kepez Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,20.000 TL
Kepez - Kepez Mahallesi,Daire | 2+1 | 10. Kat | 93 m²,25.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,25.000 TL
Konyaaltı - Arapsuyu Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,35.000 TL
Alanya - Tepe Mahallesi,Daire | 2+1 | 1. Kat | 135 m²,20.000 TL
Alanya - Tepe Mahallesi,Daire | 2+1 | 1. Kat | 135 m²,20.000 TL
Alanya - Oba Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,25.000 TL
Gazipaşa - Cumhuriyet Mahallesi,Daire | 2+1 | 5. Kat | 105 m²,22.000 TL
Alanya - Oba Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,20.000 TL
Kepez - Gülveren Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,30.000 TL
Kepez - Kepez Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,26.000 TL
Aksu - Altıntaş Mahallesi,Daire | 3+1 | 8. Kat | 148 m²,23.000 TL
Aksu - Altıntaş Mahallesi,Daire | 2+1 | 2. Kat | 74 m²,30.000 TL
Kepez - Ayanoğlu Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,20.000 TL
Aksu - Güzelyurt Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,21.000 TL
Kepez - Yeşilyurt Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,23.000 TL
Kepez - Ahatlı Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,27.000 TL
Finike - Kum Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,18.000 TL
Alanya - Cikcilli Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,47.500 TL
Kepez - Göçerler Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,21.000 TL
