location,information,sales_price
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,11.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 6. Kat | 60 m²,20.500 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 145 m²,200.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,30.000 TL
Yüreğir - PTT Mahallesi,Daire | 3+1 | 12. Kat | 140 m²,20.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 5. Kat | 150 m²,28.500 TL
Seyhan - Aydınlar Mahallesi,Daire | 2.5+1 | 6. Kat | 105 m²,200.000 TL
Seyhan - Aydınlar Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,30.000 TL
Seyhan - Aydınlar Mahallesi,Daire | 2+1 | 9. Kat | 90 m²,21.000 TL
Seyhan - İsmetpaşa Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,15.000 TL
Seyhan - İsmetpaşa Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,15.000 TL
Sarıçam - Çınarlı Mahallesi,Daire | 1+1 | 7. Kat | 50 m²,12.000 TL
Çukurova - Güzelyalı Mahallesi,Daire | 3+1 | 2. Kat | 190 m²,27.500 TL
Sarıçam - Osmangazi Mahallesi,Daire | 1+1 | 5. Kat | 50 m²,8.000 TL
Sarıçam - Çınarlı Mahallesi,Daire | 2+1 | 5. Kat | 75 m²,12.000 TL
Seyhan - Barış Mahallesi,Daire | 3+1 | 3. Kat | 190 m²,185.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,22.000 TL
Çukurova - Toros Mahallesi,Daire | 3+1 | 4. Kat | 130 m²,18.500 TL
Çukurova - Toros Mahallesi,Daire | 3+1 | 8. Kat | 170 m²,280.000 TL
Seyhan - Türkocağı Mahallesi,Daire | 3+1 | 2. Kat | 220 m²,150.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,250.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,7.500 TL
Seyhan - Fevzipaşa Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,135.000 TL
Sarıçam - Çınarlı Mahallesi,Daire | 1+1 | 11. Kat | 50 m²,9.000 TL
Çukurova - Belediye Evleri Mahallesi,Daire | 3+1 | 1. Kat | 110 m²,16.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 4+1 | 8. Kat | 150 m²,23.000 TL
Seyhan - Yenibaraj Mahallesi,Daire | 1+1 | Yüksek giriş | 45 m²,10.000 TL
Çukurova - Beyazevler Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,8.000 TL
Çukurova - Beyazevler Mahallesi,Daire | Stüdyo | 2. Kat | 45 m²,7.500 TL
Çukurova - Karahan Mahallesi,Daire | 3+1 | 5. Kat | 130 m²,140.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,12.500 TL
Seyhan - Yeşilyurt Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 45 m²,8.000 TL
Çukurova - Mahfesığmaz Mahallesi,Daire | 3+1 | 15. Kat | 150 m²,465.000 TL
Çukurova - Yüzüncüyıl Mahallesi,Daire | 1+1 | Yüksek giriş | 60 m²,14.000 TL
Seyhan - Sümer Mahallesi,Daire | 3+1 | 7. Kat | 240 m²,35.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 3+1 | 12. Kat | 150 m²,27.000 TL
Sarıçam - Mehmet Akif Ersoy Mahallesi,Daire | 3+1 | 10. Kat | 150 m²,21.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,13.500 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 2+1 | 5. Kat | 120 m²,17.000 TL
Yüreğir - PTT Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,16.000 TL17.000 TL
Sarıçam - Boynuyoğun Mahallesi,Daire | 4+1 | 11. Kat | 165 m²,10.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,16.500 TL
Seyhan - Yeşiloba Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,22.500 TL
Seyhan - Pınar Mahallesi,Daire | 4+1 | 9. Kat | 220 m²,33.500 TL
Çukurova - Huzurevleri Mahallesi,Daire | 3+1 | 8. Kat | 165 m²,32.000 TL
Sarıçam - Göztepe Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,9.000 TL
Sarıçam - Gültepe Mahallesi,Daire | 1+1 | Yüksek giriş | 70 m²,9.500 TL10.500 TL
Seyhan - Gürselpaşa Mahallesi,Daire | 2+1 | 3. Kat | 150 m²,15.500 TL
Seyhan - Yenibaraj Mahallesi,Daire | 1+1 | 1. Kat | 80 m²,18.000 TL
Sarıçam - Çarkıpare Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,14.000 TL
Seyhan - Yeşilyurt Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,16.000 TL
