İlan Numarası,İlan Oluşturma Tarihi,İlan Güncelleme Tarihi,Türü,Kategorisi,Tipi,Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Yapı Durumu,Yapı Tipi,Eşya Durumu,Aidat,Tapu Durumu,Site İçerisinde,Depozito,Takas,Banyo Sayısı,Banyo Metrekare,Balkon Durumu,Salon Metrekare,WC Sayısı,Fiyat Durumu,Görüntülü Gezilebilir mi?,Ada,Parsel,fiyat,konum,URL,Balkon Sayısı,Balkon Tipi,Balkon Metrekare,WC Metrekare
16820753,13 Şubat 2025,05 Ağustos 2025,Konut,Kiralık,Daire,110 m²,135 m²,3+1,0 (Yeni),5.Kat,5,Merkezi (Pay Ölçer),Boş,Sıfır,Betonarme,Boş,,Tapu Kaydı Yok,Hayır,,Var,1,10 m²,Var,25 m²,1,Birim Fiyat,Evet,,,8.000TL,Gaziantep - Şehitkamil - Karacaören Mahallesi,https://www.emlakjet.com/ilan/millioglu-insaat-tan-kuzeysehir-de-kiralik-31-daire-16820753,1,Açık Balkon,5 m²,5 m²
17396212,25 Mayıs 2025,26 Haziran 2025,Konut,Kiralık,Daire,95 m²,120 m²,2+1,2,2.Kat,4,Kombi Doğalgaz,Boş,,,Boş,,Kat Mülkiyeti,Evet,,Yok,1,,,,,Genel Fiyat,,,,13.500TL,Gaziantep - Şehitkamil - Beykent Mahallesi,https://www.emlakjet.com/ilan/beykent-te-kiralik-21-kilerli-genis-daire-17396212,,,,
17289262,06 Mayıs 2025,23 Ağustos 2025,Konut,Kiralık,Daire,70 m²,100 m²,2+1,5-10,11.Kat,11,Kombi Doğalgaz,Boş,,,,,Kooperatiften Tapu,Evet,,,1,,,,,Genel Fiyat,,,,10.000TL,Gaziantep - Şahinbey - Abdülhamit Han Mahallesi,https://www.emlakjet.com/ilan/g-antep-abdulhamithan-mah-hanyap-sitesi-kiralik-21-amerikan-mutfak-daire-17289262,,,,
17322915,12 Mayıs 2025,24 Temmuz 2025,Konut,Kiralık,Daire,110 m²,125 m²,2+1,2,6.Kat,8,Kombi Doğalgaz,Boş,İkinci El,Betonarme,Boş,,Kat Mülkiyeti,Hayır,17000 TL,,2,,Var,,2,Genel Fiyat,Hayır,779,12,17.000TL,Gaziantep - Şehitkamil - Göktürk Mahallesi,https://www.emlakjet.com/ilan/ezogelinden-gokturkte-kiralik-lux-21-daire-17322915,1,,,
17203145,23 Nisan 2025,05 Ağustos 2025,Konut,Kiralık,Daire,100 m²,120 m²,2+1,11-15,1.Kat,3,Kombi Doğalgaz,Boş,,,Boş,,Hisseli Tapu,Hayır,10000 TL,Yok,1,,Yok,,1,Genel Fiyat,,2214,100,9.500TL,Gaziantep - Şahinbey - Konak Mahallesi,https://www.emlakjet.com/ilan/cagdas-emlak-ofisinden-konak-mah-kiralik-daire-17203145,,,,
16719555,22 Ocak 2025,04 Ağustos 2025,Konut,Kiralık,Daire,70 m²,75 m²,2+1,5-10,13.Kat,15,Kombi Doğalgaz,Boş,,,Eşyalı,,Kat Mülkiyeti,Hayır,,Yok,1,,,,,Genel Fiyat,,279,2,15.000TL,Gaziantep - Şahinbey - Şahintepe Mahallesi,https://www.emlakjet.com/ilan/karatas-merkezde-20-esyasiz-kiralik-ara-kat-daire-16719555,,,,
17112063,04 Nisan 2025,03 Temmuz 2025,Konut,Kiralık,Daire,55 m²,70 m²,2+0,5-10,2.Kat,4,Merkezi Doğalgaz,Boş,,,Eşyalı,,Kat Mülkiyeti,Hayır,,Yok,1,,,,,Genel Fiyat,,,,13.000TL,Gaziantep - Şahinbey - Binevler Mahallesi,https://www.emlakjet.com/ilan/konum-emlaktan-kiralik-full-sifir-esyali-20-daireler-17112063,,,,
16871490,21 Şubat 2025,23 Ağustos 2025,Konut,Kiralık,Daire,105 m²,120 m²,2+1,5-10,2.Kat,6,Kombi Doğalgaz,Boş,,,,,Tapu Kaydı Yok,Evet,15000 TL,,1,,Var,,,Genel Fiyat,,,,15.000TL,Gaziantep - Şehitkamil - Çamlıtepe Mahallesi,https://www.emlakjet.com/ilan/beykent-mah-orman-manzarali-onu-acik-daire-16871490,1,,,
16735751,25 Ocak 2025,19 Ağustos 2025,Konut,Kiralık,Daire,105 m²,115 m²,2+1,21 Ve Üzeri,2.Kat,3,Kombi Doğalgaz,Boş,İkinci El,Betonarme,Boş,,Hisseli Tapu,Hayır,10000 TL,,1,,Yok,,1,Genel Fiyat,,2935,42,8.000TL,Gaziantep - Şahinbey - Cumhuriyet Mahallesi,https://www.emlakjet.com/ilan/cumhuriyet-mahlesinde-genis-21-bireysel-dogalgazli-21-daire-16735751,,,,
17188086,20 Nisan 2025,18 Ağustos 2025,Konut,Kiralık,Daire,130 m²,135 m²,3+1,16-20,1.Kat,3,Sobalı,Boş,İkinci El,Betonarme,,0 TL,Tapu Kaydı Yok,Hayır,10000 TL,Yok,1,5 m²,Var,30 m²,1,Genel Fiyat,Evet,,,8.000TL,Gaziantep - Şahinbey - 60. Yıl Mahallesi,https://www.emlakjet.com/ilan/60-yilda-kiralik-21-sobali-daire-17188086,2,Açık Balkon,10 m²,2 m²
